apply	function_address	function_name	target_kind	target_name	target_locator	expected_type	expected_source	proposed_type	access_count	field_count	confidence	type_evidence	evidence_sites	reason
0	00751C40	FUN_00751c40	parameter	param_3	Stack[0xc]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00752030	FUN_00752030	parameter	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00752030_828E6372	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00752030_828E6372	0	1	existing	{}	existing generated baseline /SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00752030_828E6372	script-owned anonymous structure already covers the observed extent and fields
0	00752030	FUN_00752030	parameter	lpBuffer	Stack[0x8]:4	pointer:/void	ANALYSIS		0	0	review	{}		conflicting or invalid access widths
0	00752030	FUN_00752030	parameter	uBytes	Stack[0xc]:4	/uint	ANALYSIS		0	0	review	{}		conflicting or invalid access widths
0	00752060	FUN_00752060	parameter	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00752060_B3F98700	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00752060_B3F98700	0	1	existing	{}	existing generated baseline /SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00752060_B3F98700	script-owned anonymous structure already covers the observed extent and fields
0	00752080	FUN_00752080	parameter	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00752080_C15D4E0F	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00752080_C15D4E0F	0	1	existing	{}	existing generated baseline /SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00752080_C15D4E0F	script-owned anonymous structure already covers the observed extent and fields
0	00752080	FUN_00752080	parameter	lOffset	Stack[0x8]:4	/long	ANALYSIS		0	0	review	{}		conflicting or invalid access widths
0	007521B0	FUN_007521b0	local	local_18	Stack[-0x18]:4	/undefined4	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	007521B0	FUN_007521b0	parameter	param_4	Stack[0x10]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	007521B0	FUN_007521b0	parameter	param_5	Stack[0x14]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	007521B0	FUN_007521b0	parameter	param_6	Stack[0x18]:1	/byte	DEFAULT		0	0	review	{}		non-pointer-sized Listing storage is an inline stack/scalar root; pointer-shape evidence is retained for aggregate recovery only
0	007521B0	FUN_007521b0	parameter	param_1	Stack[0x4]:4	pointer:/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	007521B0	FUN_007521b0	parameter	param_2	Stack[0x8]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_006B4B20_F20E56A6	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_007521B0_4642B53E	0	3	review	{}	existing generated baseline /SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_006B4B20_F20E56A6	legacy geometry-only anonymous family split back to the target's own observed access profile; insufficient independent field evidence
0	007521B0	FUN_007521b0	parameter	param_3	Stack[0xc]:4	/uint	DEFAULT		0	0	review	{}		incoming scalar ABI slot is fully overwritten before its pointer-shaped lifetime; split the post-write local instead of changing the parameter
0	007527A0	FUN_007527a0	parameter	param_4	Stack[0x10]:1	/char	DEFAULT		0	0	review	{}		non-pointer-sized Listing storage is an inline stack/scalar root; pointer-shape evidence is retained for aggregate recovery only
0	007527A0	FUN_007527a0	parameter	param_5	Stack[0x14]:4	pointer:/uint	DEFAULT		0	0	review	{}		conflicting or invalid access widths
