anonymous_type	category	length	defined_components	concrete_fields	meaningful_fields	function_targets	global_targets	field_targets	exact_named_candidates	compatible_named_candidates	automatic_named_type	match_status	usage_status
/SubmarineTitans/Recovered/PointerShapes/AnonNested_004D0670_01F5_FCC3211A	pointer_shape	348	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_004EC2A0_01F5_BFE69187	pointer_shape	348	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_004EE350_0018_78690378	pointer_shape	8	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_004EF5F0_0014_2E827CED	pointer_shape	12	3	0	0	0	0	1		/SoundPosition,/SubmarineTitans/Recovered/STPosition32,/unknwn.h/IUnknownVtbl,/winbase.h/_SECURITY_ATTRIBUTES,/wingdi.h/_ABC		partial_named_review	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00521CF0_0198_99A2701C	pointer_shape	24	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00521CF0_0198_ED218B19	pointer_shape	24	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052A430_0014_F40A3334	pointer_shape	12	3	3	0	0	0	1	/SoundPosition,/SubmarineTitans/Recovered/STPosition32			exact_named_ambiguous	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052A7B0_0014_0177A204	pointer_shape	12	3	0	0	0	0	1		/SoundPosition,/SubmarineTitans/Recovered/STPosition32,/unknwn.h/IUnknownVtbl,/winbase.h/_SECURITY_ATTRIBUTES,/wingdi.h/_ABC		partial_named_review	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052A890_0014_9BCDCE5B	pointer_shape	12	3	0	0	0	0	1		/SoundPosition,/SubmarineTitans/Recovered/STPosition32,/unknwn.h/IUnknownVtbl,/winbase.h/_SECURITY_ATTRIBUTES,/wingdi.h/_ABC		partial_named_review	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052BDA0_007E_1B3446E2	pointer_shape	24	4	4	0	1	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052EFB0_0018_CB007E0D	pointer_shape	16	4	4	0	0	0	1	/SubmarineTitans/Recovered/GlobalAggregates/RuntimeRecord_007F4D74_0010			exact_named_review	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_005389E0_0018_A8EBF066	pointer_shape	8	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00538BA0_0018_DBC85CBF	pointer_shape	16	4	4	0	0	0	1	/SubmarineTitans/Recovered/GlobalAggregates/RuntimeRecord_007F4D74_0010			exact_named_review	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00538DB0_0018_D0DE3542	pointer_shape	16	4	4	0	0	0	1	/SubmarineTitans/Recovered/GlobalAggregates/RuntimeRecord_007F4D74_0010			exact_named_review	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00538FC0_0018_DB9172F2	pointer_shape	8	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053D7A0_0018_F6872402	pointer_shape	8	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053D920_0018_8DE8F5C2	pointer_shape	16	4	4	0	0	0	1	/SubmarineTitans/Recovered/GlobalAggregates/RuntimeRecord_007F4D74_0010			exact_named_review	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053DAF0_0018_BAFC63C8	pointer_shape	16	4	4	0	0	0	1	/SubmarineTitans/Recovered/GlobalAggregates/RuntimeRecord_007F4D74_0010			exact_named_review	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053DCC0_0018_16DF3813	pointer_shape	8	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053FCD0_0014_03E531EF	pointer_shape	20	3	3	0	0	0	1		/SubmarineTitans/Recovered/GlobalAggregates/RuntimeRecord_007F4D3C_0014,/SubmarineTitans/Recovered/GlobalAggregates/RuntimeRecord_00803310_0014		partial_named_review	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053FEE0_0014_154E5252	pointer_shape	20	3	3	0	0	0	1		/SubmarineTitans/Recovered/GlobalAggregates/RuntimeRecord_007F4D3C_0014,/SubmarineTitans/Recovered/GlobalAggregates/RuntimeRecord_00803310_0014		partial_named_review	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00575CB0_0004_76DA00C1	pointer_shape	4	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_005C1610_0014_572A8044	pointer_shape	28	6	6	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_005D1400_0050_DA378AC5	pointer_shape	748	5	4	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_005D5560_0050_EBFA0A51	pointer_shape	748	4	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_005DDB40_0686_936021D6	pointer_shape	24	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_005F1700_003C_057131A3	pointer_shape	32	5	4	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_005FAEE0_02E6_E37EB1FC	pointer_shape	108	9	9	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0060A4B0_0234_BD227FFA	pointer_shape	64	9	5	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0060A940_0234_EAD23A7B	pointer_shape	64	4	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00637180_002C_C78B37DA	pointer_shape	32	7	6	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0063D410_0336_B4CDA572	pointer_shape	60	4	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0063E660_0336_9C5AD80D	pointer_shape	60	4	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00652810_000F_9CE8027E	pointer_shape	32	3	3	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0065D590_020B_7D3FD1B5	pointer_shape	40	4	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_006B2020_01A0_B4F1EFF3	pointer_shape	76	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_006D6290_0018_C51D55FE	pointer_shape	112	4	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E6FB0_0008_71212DD0	pointer_shape	24	4	3	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_006ECFC0_0064_4836A151	pointer_shape	140	8	7	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_006ECFC0_0064_60428B19	pointer_shape	140	8	7	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00721790_0138_C6072F4E	pointer_shape	24	3	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_007217E0_0138_CBD04E88	pointer_shape	24	3	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_007219A0_0138_7CAF6BF8	pointer_shape	24	2	1	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_007233F0_0064_6FCF4A7B	pointer_shape	116	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074C571_00CC_C64502DE	pointer_shape	148	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074C8A9_0090_6FCAB5DF	pointer_shape	144	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00757360_0008_E15F2681	pointer_shape	24	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00757530_000C_743CE253	pointer_shape	56	2	1	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_007575B0_000C_8FAD8207	pointer_shape	52	2	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00757670_0008_104EC36D	pointer_shape	56	3	3	0	1	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00758100_0010_55B841DF	pointer_shape	20	4	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0075A800_019A_8DF3E337	pointer_shape	20	2	1	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0075CF90_019E_7AA50958	pointer_shape	20	2	1	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0075D0B0_019E_9C9AA260	pointer_shape	28	5	0	0	0	0	1		/SubmarineTitans/Recovered/DArrayElements/VisibleClassTy_field_00F4Element		partial_named_review	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0075D370_01B2_35AE3A6A	pointer_shape	100	2	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0075DA80_01B6_323D7698	pointer_shape	24	4	0	0	0	0	1		/mmsystem.h/tMIXERCONTROLDETAILS,/mmsystem.h/tagMIXERLINECONTROLSA,/winnt.h/_RTL_CRITICAL_SECTION		partial_named_review	referenced
