apply	type_path	offset	size	proposed_name	proposed_type	evidence_count	reason
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_0068	8	4	field_0008	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_0068	14	2	field_000E	/undefined2	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_0068	20	4	field_0014	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_01B3	8	4	field_0008	/undefined4	4	nested reads=5, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_01B3	28	4	field_001C	/undefined4	4	nested reads=5, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_01C7	0	4	field_0000	/undefined4	6	nested reads=6, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_01C7	4	4	field_0004	/undefined4	4	nested reads=4, writes=0
1	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_01EC	4	4	field_0004	/undefined4	1	nested reads=1, writes=0
1	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_01EC	8	4	field_0008	/undefined4	1	nested reads=5, writes=0
1	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_01EC	14	2	field_000E	/undefined2	1	nested reads=1, writes=0
1	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_01EC	20	4	field_0014	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_0218	4	4	field_0004	/undefined4	3	nested reads=4, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_0218	8	4	field_0008	/undefined4	3	nested reads=5, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_0218	14	2	field_000E	/undefined2	2	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_0218	20	4	field_0014	/undefined4	2	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpStringTy_012A	4	4	field_0004	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpStringTy_012A	8	4	field_0008	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpStringTy_012A	14	2	field_000E	/undefined2	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpStringTy_012A	20	4	field_0014	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_InterSystemC_0000	8	4	field_0008	/undefined4	1	nested reads=25, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_InterSystemC_0000	16	4	field_0010	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0073	4	4	field_0004	/undefined4	1	nested reads=4, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0073	8	4	field_0008	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0077	4	4	field_0004	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0077	8	4	field_0008	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0077	14	2	field_000E	/undefined2	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0077	20	4	field_0014	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0083	88	4	field_0058	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0083	134	4	field_0086	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0083	160	4	field_00A0	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0453	0	1	field_0000	/undefined1	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0453	2	1	field_0002	/undefined1	1	nested reads=0, writes=1
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0453	3	4	field_0003	/undefined4	2	nested reads=3, writes=0
