function_address	enum_name	status	detail
00497E00	STGroupBoatC_field_01E6State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STGroupBoatC_field_01E6State; field already uses enum
00498D20	STGroupBoatC_sub_00498D20_orderTypeEnum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STGroupBoatC_sub_00498D20_orderTypeEnum; parameter already uses enum
00499DE0	STGroupBoatC_DistributeTargets_dVar4Enum	disabled	apply=0
00499DE0	STGroupBoatC_DistributeTargets_uVar7Enum	disabled	apply=0
004A8E00	Global_sub_004A8E00_DAT_008073fcEnum	disabled	apply=0
004AB070	OpticClassC_sub_004AB070_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/OpticClassC_sub_004AB070_param_1Enum; parameter already uses enum
004AB300	Global_sub_004AB300_switch_0Enum	disabled	apply=0
004AE0B0	Global_sub_004AE0B0_switch_1Enum	disabled	apply=0
004AFFA0	Global_sub_004AFFA0_param_2Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004AFFA0_param_2Enum; parameter already uses enum
004B1120	Global_sub_004B1120_param_2Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004B1120_param_2Enum; parameter already uses enum
004B1FB0	Global_sub_004B1FB0_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004B1FB0_param_1Enum; parameter already uses enum
004B33D0	Global_sub_004B33D0_switch_0Enum	disabled	apply=0
004B6E30	Global_sub_004B6E30_param_2Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004B6E30_param_2Enum; parameter already uses enum
004B7350	Global_sub_004B7350_param_2Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004B7350_param_2Enum; parameter already uses enum
004B7520	Global_sub_004B7520_param_2Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004B7520_param_2Enum; parameter already uses enum
004B7F90	TLOBaseTy_field_0245State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/TLOBaseTy_field_0245State; field already uses enum
004B80D0	TLOBaseTy_field_05ACState	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/TLOBaseTy_field_05ACState; field already uses enum
004B80D0	TLOBaseTy_SetState_TVar5Enum	disabled	apply=0
004B8C00	RecoveredRecordView_004B8C00_A7F5FC12_field_0245State	disabled	apply=0
004B9D90	Global_sub_004B9D90_iVar1Enum	disabled	apply=0
004B9FA0	TLOBaseTy_field_0231State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/TLOBaseTy_field_0231State; field already uses enum
004B9FA0	TLOBaseTy_GetMessage_TVar6Enum	disabled	apply=0
004B9FA0	TLOBaseTy_GetMessage_bVar1Enum	disabled	apply=0
004B9FA0	TLOBaseTy_GetMessage_switch_5Enum	disabled	apply=0
004B9FA0	TLOBaseTy_GetMessage_switch_8Enum	disabled	apply=0
004BEA70	TLOBaseTy_sub_004BEA70_switch_3Enum	disabled	apply=0
004BEA70	TLOBaseTy_sub_004BEA70_switch_4Enum	disabled	apply=0
004BEA70	TLOBaseTy_sub_004BEA70_switch_5Enum	disabled	apply=0
004C21A0	Global_sub_004C21A0_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004C21A0_param_1Enum; parameter already uses enum
004C2950	Global_sub_004C2950_param_3Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004C2950_param_3Enum; parameter already uses enum
004C2E60	Global_sub_004C2E60_switch_0Enum	disabled	apply=0
004C4550	TLOBaseTy_sub_004C4550_switch_0Enum	disabled	apply=0
004C7260	TLOBaseTy_sub_004C7260_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/TLOBaseTy_sub_004C7260_param_1Enum; parameter already uses enum
004C7730	Global_sub_004C7730_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004C7730_param_1Enum; parameter already uses enum
004C7860	TLOBaseTy_sub_004C7860_switch_0Enum	disabled	apply=0
004C7860	TLOBaseTy_sub_004C7860_switch_1Enum	disabled	apply=0
004C94B0	TLOBaseTy_procResult_switch_0Enum	disabled	apply=0
004CAFC0	TLOBaseTy_field_04D0State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/TLOBaseTy_field_04D0State; field already uses enum
004CAFC0	TLOBaseTy_sub_004CAFC0_TVar5Enum	disabled	apply=0
004CAFC0	TLOBaseTy_sub_004CAFC0_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/TLOBaseTy_sub_004CAFC0_param_1Enum; parameter already uses enum
004CBFB0	Global_sub_004CBFB0_switch_0Enum	disabled	apply=0
004CC130	RecoveredRecordView_004CC130_E53952B7_field_05ACState	disabled	apply=0
004CE9E0	Global_sub_004CE9E0_switch_0Enum	disabled	apply=0
004CEB00	TLOBaseTy_sub_004CEB00_TVar2Enum	disabled	apply=0
004CF640	TLOBaseTy_sub_004CF640_local_8Enum	disabled	apply=0
004CFA00	TLOBaseTy_sub_004CFA00_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/TLOBaseTy_sub_004CFA00_param_1Enum; parameter already uses enum
004CFBE0	Global_sub_004CFBE0_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004CFBE0_param_1Enum; parameter already uses enum
004D0310	Global_sub_004D0310_local_EAX_323Enum	disabled	apply=0
004D0670	Global_sub_004D0670_iVar2Enum	disabled	apply=0
004D32C0	TLOBaseTy_field_02ECState	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/TLOBaseTy_field_02ECState; field already uses enum
004D8DB0	RecoveredRecordView_004D8DB0_DB767380_field_0245State	disabled	apply=0
004D9000	RecoveredRecordView_004D9000_7F89BF8E_field_0245State	disabled	apply=0
004D95A0	RecoveredRecord_004D95A0_E0EC0EDA_field_04D0State	disabled	apply=0
004D9620	RecoveredRecord_004D9620_0A743BB7_field_04D0State	disabled	apply=0
004D9C80	RecoveredRecordView_004D9C80_63C53606_field_0245State	disabled	apply=0
004DA230	RecoveredRecord_004DA230_146070EB_field_04D0State	disabled	apply=0
004DA2B0	RecoveredRecord_004DA2B0_CDACE95B_field_04D0State	disabled	apply=0
004DC4B0	Global_sub_004DC4B0_switch_0Enum	disabled	apply=0
004DE1E0	Global_sub_004DE1E0_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004DE1E0_param_1Enum; parameter already uses enum
