apply	function_address	expected_function	expected_signature	label_address	decompiler_label	existing_primary_name	existing_primary_source	proposed_name	kind	goto_count	cfg_incoming	back_edges_into	back_edges_from	confidence	reason	preview
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	00439B10	LAB_00439b10	LAB_00439b10	DEFAULT	cf_join_00439B10	join	1	4	0	0	medium	multi-predecessor target; semantic role requires review	00439B10 MOV EDX,dword ptr [EDI + 0xa]; 00439B13 MOV AL,byte ptr [EDI + 0x4]; 00439B16 MOV ECX,dword ptr [EBP + -0x4]; 00439B19 PUSH 0x0; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	00439C32	LAB_00439c32	LAB_00439c32	DEFAULT	cf_join_00439C32	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	00439C32 MOV ECX,dword ptr [EDI + 0xa]; 00439C35 MOV EDX,dword ptr [ECX + 0x1c]; 00439C38 MOV CL,byte ptr [EDI + 0x4]; 00439C3B MOV AX,word ptr [EDX]
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	00439C59	LAB_00439c59	LAB_00439c59	DEFAULT	cf_join_00439C59	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	00439C59 PUSH 0x7a76d0; 00439C5E PUSH 0x7a4ccc; 00439C63 PUSH 0x0; 00439C65 PUSH 0x0; calls=ReportDebugMessage
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	00439C87	LAB_00439c87	LAB_00439c87	DEFAULT	cf_join_00439C87	join	1	4	0	0	medium	multi-predecessor target; semantic role requires review	00439C87 MOV EAX,dword ptr [EDI + 0xa]; 00439C8A MOV CL,byte ptr [EDI + 0x4]; 00439C8D MOV EDX,dword ptr [EBP + -0x4]; 00439C90 PUSH 0x0; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	00439CC7	LAB_00439cc7	LAB_00439cc7	DEFAULT	cf_join_00439CC7	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	00439CC7 MOV EDX,dword ptr [EDI + 0xa]; 00439CCA MOV EAX,dword ptr [EDX + 0x1c]; 00439CCD MOV DL,byte ptr [EDI + 0x4]; 00439CD0 MOV CX,word ptr [EAX]
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	00439CFB	LAB_00439cfb	LAB_00439cfb	DEFAULT	cf_join_00439CFB	join	2	3	0	0	medium	multi-predecessor target; semantic role requires review	00439CFB PUSH 0x7a769c; 00439D00 PUSH 0x7a4ccc; 00439D05 PUSH 0x0; 00439D07 PUSH 0x0; calls=ReportDebugMessage
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	00439DFB	LAB_00439dfb	LAB_00439dfb	DEFAULT	cf_join_00439DFB	join	1	4	0	0	medium	multi-predecessor target; semantic role requires review	00439DFB MOV CX,word ptr [EDI + 0x32]; 00439DFF MOV DL,byte ptr [EDI + 0x24]; 00439E02 MOV EAX,dword ptr [EDI + 0x20]; 00439E05 MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	00439EB7	LAB_00439eb7	LAB_00439eb7	DEFAULT	cf_join_00439EB7	join	1	4	0	0	medium	multi-predecessor target; semantic role requires review	00439EB7 MOV DX,word ptr [EDI + 0x32]; 00439EBB MOV AL,byte ptr [EDI + 0x24]; 00439EBE MOV ECX,dword ptr [EDI + 0x20]; 00439EC1 MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
1	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043A107	cf_common_join_0043A107	STAllPlayersC::RestoreTmp::cf_common_join_0043A107	ANALYSIS	cf_common_join_0043A107	common_join	5	7	0	0	high	high-fan-in control-flow join	0043A107 MOV dword ptr [EBP + -0x20],0x1; 0043A10E JMP 0x0043a47c
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043A177	LAB_0043a177	LAB_0043a177	DEFAULT	cf_join_0043A177	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	0043A177 MOV AX,word ptr [EDI + 0x8]; 0043A17B MOV EDX,dword ptr [EBP + -0x1c]; 0043A17E MOV CL,byte ptr [EDI + 0x4]; 0043A181 MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
