apply	owner	parent_offset	type_path	length	field_count	access_count	confidence	reason
0	STGameObjC	433	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01B1	12	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	STGroupBoatC	558	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGroupBoatC_022E	32	2	5	review	multiple non-overlapping fixed offsets through one class pointer field
0	STPlaySystemC	61	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STPlaySystemC_003D	8	2	11	review	multiple non-overlapping fixed offsets through one class pointer field
0	SettMapMTy	12	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_000C	24	2	7	review	multiple non-overlapping fixed offsets through one class pointer field
0	SettMapMTy	6747	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_1A5B	1718	12	118	review	multiple non-overlapping fixed offsets through one class pointer field
0	SettMapMTy	8680	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_21E8	27	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	SettMapMTy	8684	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_21EC	27	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	SettMapMTy	8688	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_21F0	27	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	SettMapMTy	8692	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_21F4	27	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	SettMapMTy	8696	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_21F8	27	4	7	review	multiple non-overlapping fixed offsets through one class pointer field
0	SettMapMTy	8708	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_2204	12	2	3	review	multiple non-overlapping fixed offsets through one class pointer field
0	SettMapSTy	0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapSTy_0000	48	4	9	review	multiple non-overlapping fixed offsets through one class pointer field
0	SettMapTy	8680	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapTy_21E8	27	3	3	review	multiple non-overlapping fixed offsets through one class pointer field
0	SettMapTy	8684	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapTy_21EC	27	3	3	review	multiple non-overlapping fixed offsets through one class pointer field
0	SettMapTy	8688	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapTy_21F0	27	3	3	review	multiple non-overlapping fixed offsets through one class pointer field
0	SettMapTy	8692	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapTy_21F4	27	3	3	review	multiple non-overlapping fixed offsets through one class pointer field
0	SpecPanelTy	104	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SpecPanelTy_0068	24	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	StartSystemTy	12	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_000C	8	2	3	review	multiple non-overlapping fixed offsets through one class pointer field
