apply	action	type_path	replacement_path	expected_replacement	expected_length	expected_parents	expected_function_uses	expected_listing_uses	expected_description	reason
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B5			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=57034f70f3a115cf23f7b25f84c5d4d2296629de53af53b3be8c42f60fe7c8ff	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B5 *32			4	1	0	0	32-bit pointer to AnonPointee_STAllPlayersC_01B5	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B9			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=57034f70f3a115cf23f7b25f84c5d4d2296629de53af53b3be8c42f60fe7c8ff	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B9 *32			4	1	0	0	32-bit pointer to AnonPointee_STAllPlayersC_01B9	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAppC_115A			8	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=0fd0718ec73f05f6512a8187483395007c161d80137aa3a9882ff9e9bf435f10	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAppC_115A *32			4	1	0	0	32-bit pointer to AnonPointee_STAppC_115A	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STBHEShellC_00F3			256	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=032d65f01522df2b0796f294235d66062a399458ff88cbc4ee0bc9d518ba8ba1	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STBHEShellC_00F3 *32			4	1	0	0	32-bit pointer to AnonPointee_STBHEShellC_00F3	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_0195			20	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=f39cb3c7e351e279775c2df2f498865dc23fd9e460033fc108a515285ee4e3df	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_0195 *32			4	1	0	0	32-bit pointer to AnonPointee_STGameObjC_0195	still referenced
