address	status	proposed_name	detail
00690550	disabled	AiTactClassTy::sub_00690550	all apply flags are 0
00690A40	applied	AiTactClassTy::sub_00690A40	owner=applied(AiTactClassTy::sub_00690A40); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
00690AB0	applied	AiTactClassTy::sub_00690AB0	owner=applied(AiTactClassTy::sub_00690AB0); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0069FF90	applied	CGenerate::sub_0069FF90	owner=applied(CGenerate::sub_0069FF90); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
006B0020	disabled		all apply flags are 0
006B0C70	disabled		all apply flags are 0
006B4170	disabled	MReportTy::sub_006B4170	all apply flags are 0
006B5B10	disabled	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_005B5BE0::sub_006B5B10	all apply flags are 0
006B5EE0	disabled	MReportTy::sub_006B5EE0	all apply flags are 0
006B6110	disabled	StartSystemTy::sub_006B6110	all apply flags are 0
006B6500	disabled	StartSystemTy::sub_006B6500	all apply flags are 0
006E25D0	disabled	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_004248D0::sub_006E25D0	all apply flags are 0
006E3DB0	disabled	STAppC::sub_006E3DB0	all apply flags are 0
006E4B80	disabled	STAppC::sub_006E4B80	all apply flags are 0
006E5150	applied	STAppC::sub_006E5150	owner=applied(STAppC::sub_006E5150); this_type=unchanged
006E51B0	applied	STAppC::sub_006E51B0	owner=applied(STAppC::sub_006E51B0); parameters=applied(no explicit parameters); convention=applied(__thiscall)
006E52D0	disabled		all apply flags are 0
006E5360	disabled	StartSystemTy::sub_006E5360	all apply flags are 0
006E56B0	disabled	StartSystemTy::sub_006E56B0	all apply flags are 0
006E5FB0	disabled		all apply flags are 0
006E5FD0	disabled		all apply flags are 0
006E5FE0	disabled	ComboTy::sub_006E5FE0	all apply flags are 0
006E6000	disabled		all apply flags are 0
006E6020	disabled		all apply flags are 0
006E6080	disabled		all apply flags are 0
006E60A0	disabled	STJellyGunC::sub_006E60A0	all apply flags are 0
006E60E0	disabled		all apply flags are 0
006EA460	applied	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_006EA050::sub_006EA460	owner=applied(SubmarineTitans::Recovered::HiddenThis::AnonReceiver_006EA050::sub_006EA460); this_type=unchanged
006F31D0	disabled	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_006F31D0::sub_006F31D0	all apply flags are 0
00702510	disabled	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00702510::sub_00702510	all apply flags are 0
00702A30	disabled	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00702510::sub_00702A30	all apply flags are 0
0070B3A0	disabled		all apply flags are 0
00710790	disabled	StartSystemTy::sub_00710790	all apply flags are 0
0071A990	disabled	SoundClassTy::sub_0071A990	all apply flags are 0
00727C80	disabled	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00727C80::sub_00727C80	all apply flags are 0
00749D5F	disabled	CBaseRenderer::sub_00749D5F	all apply flags are 0
