type_path	type_name	owner	provenance	length	defined_components	usage_functions	merge_apply	rejection_reason
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052A7B0_0014_0177A204	AnonNested_0052A7B0_0014_0177A204	0052A7B0	function_local_or_parameter_shape	12	3	0052A7B0	0	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false; anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052A890_0014_9BCDCE5B	AnonNested_0052A890_0014_9BCDCE5B	0052A890	function_local_or_parameter_shape	12	3	0052A890	0	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false; anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052BDA0_007E_1B3446E2	AnonNested_0052BDA0_007E_1B3446E2	0052BDA0	function_local_or_parameter_shape	24	4	004F5690	0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052EFB0_0018_CB007E0D	AnonNested_0052EFB0_0018_CB007E0D	0052EFB0	function_local_or_parameter_shape	16	4	0052EFB0	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
/SubmarineTitans/Recovered/PointerShapes/AnonNested_005389E0_0018_A8EBF066	AnonNested_005389E0_0018_A8EBF066	005389E0	function_local_or_parameter_shape	8	2	005389E0	0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00538BA0_0018_DBC85CBF	AnonNested_00538BA0_0018_DBC85CBF	00538BA0	function_local_or_parameter_shape	16	4	00538BA0	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00538DB0_0018_D0DE3542	AnonNested_00538DB0_0018_D0DE3542	00538DB0	function_local_or_parameter_shape	16	4	00538DB0	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00538FC0_0018_DB9172F2	AnonNested_00538FC0_0018_DB9172F2	00538FC0	function_local_or_parameter_shape	8	2	00538FC0	0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053D7A0_0018_F6872402	AnonNested_0053D7A0_0018_F6872402	0053D7A0	function_local_or_parameter_shape	8	2	0053D7A0	0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053D920_0018_8DE8F5C2	AnonNested_0053D920_0018_8DE8F5C2	0053D920	function_local_or_parameter_shape	16	4	0053D920	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
