address	name	current_type	raw_target	classification	target_name	target_data_type	pointee	anonymous_pointee	script_owned	evidence_sites	proposed_type	type_apply
0079B05C	PTR_s_RND_INIT_0079b05c	/pointer	007CA060	string_pointer	s_RND_INIT_007ca060	/string		0	0	0		0
0079B060	PTR_s_RESTART_GAME_0079b060	/pointer	007CA050	string_pointer	s_RESTART_GAME_007ca050	/string		0	0	0		0
0079B064	PTR_s_STATETIMER_GAME_0079b064	/pointer	007CA03C	string_pointer	s_STATETIMER_GAME_007ca03c	/string		0	0	0		0
0079B068	PTR_s_AUTOSAVETIME_GAME_0079b068	/pointer	007CA024	string_pointer	s_AUTOSAVETIME_GAME_007ca024	/string		0	0	0		0
0079B06C	PTR_s_BRIEFING_GAME_0079b06c	/pointer	007CA014	string_pointer	s_BRIEFING_GAME_007ca014	/string		0	0	0		0
0079B070	PTR_s_TITLE_MISSION_0079b070	/pointer	007CA004	string_pointer	s_TITLE_MISSION_007ca004	/string		0	0	0		0
0079B074	PTR_s_DESCRIPTION_0079b074	/pointer	007C9FF4	string_pointer	s_DESCRIPTION_007c9ff4	/string		0	0	0		0
0079B078	PTR_s_OBJECTIVES_0079b078	/pointer	007C9FE4	string_pointer	s_OBJECTIVES_007c9fe4	/string		0	0	0		0
0079B07C	PTR_s_TEXTURE_0079b07c	/pointer	007C9FD8	string_pointer	s_TEXTURE_007c9fd8	/string		0	0	0		0
0079B080	PTR_s_DESCRIPTOR_0079b080	/pointer	007C9FC8	string_pointer	s_DESCRIPTOR_007c9fc8	/string		0	0	0		0
0079B084	PTR_s_SMALL_MAP_0079b084	/pointer	007C9FBC	string_pointer	s_SMALL_MAP_007c9fbc	/string		0	0	0		0
0079B088	PTR_s_ORIG_DB_0079b088	/pointer	007C9FB0	string_pointer	s_ORIG_DB_007c9fb0	/string		0	0	0		0
0079B08C	PTR_s_TYPE_START_0079b08c	/pointer	007C9FA0	string_pointer	s_TYPE_START_007c9fa0	/string		0	0	0		0
0079B090	PTR_s_REPORT_0079b090	/pointer	007C9F98	string_pointer	s_REPORT_007c9f98	/string		0	0	0		0
0079B0CC	PTR_s_SAVEGAME\\_0079b0cc	/pointer	007C7094	string_pointer	s_SAVEGAME\\_007c7094	/string		0	0	0		0
0079B0D0	PTR_s_PL_LOG_0079b0d0	/pointer	007CA67C	string_pointer	s_PL_LOG_007ca67c	/string		0	0	0		0
0079B0D4	PTR_s_OPTIONS_PLAYER_0079b0d4	/pointer	007CA668	string_pointer	s_OPTIONS_PLAYER_007ca668	/string		0	0	0		0
0079B0D8	PTR_s_ACCKEYS_PLAYER_0079b0d8	/pointer	007CA654	string_pointer	s_ACCKEYS_PLAYER_007ca654	/string		0	0	0		0
0079B0DC	PTR_s_AIKEYS_PLAYER_0079b0dc	/pointer	007CA644	string_pointer	s_AIKEYS_PLAYER_007ca644	/string		0	0	0		0
0079B0E0	PTR_s_SYSKEYS_PLAYER_0079b0e0	/pointer	007CA630	string_pointer	s_SYSKEYS_PLAYER_007ca630	/string		0	0	0		0
0079B0E4	PTR_s_MOUKEYS_PLAYER_0079b0e4	/pointer	007CA61C	string_pointer	s_MOUKEYS_PLAYER_007ca61c	/string		0	0	0		0
0079B0E8	PTR_s_LASTLOG_0079b0e8	/pointer	007CA610	string_pointer	s_LASTLOG_007ca610	/string		0	0	0		0
0079B0EC	PTR_s_LASTPSW_0079b0ec	/pointer	007CA604	string_pointer	s_LASTPSW_007ca604	/string		0	0	0		0
0079B114	PTR_s_UPDATES\\_0079b114	/pointer	007C94C0	string_pointer	s_UPDATES\\_007c94c0	/string		0	0	0		0
0079B18C	PTR_s_SAVEGAME\\_0079b18c	/pointer	007C7094	string_pointer	s_SAVEGAME\\_007c7094	/string		0	0	0		0
0079B190	PTR_s_SYSTEM\\_0079b190	/pointer	007C7088	string_pointer	s_SYSTEM\\_007c7088	/string		0	0	0		0
0079B194	PTR_DAT_0079b194	/pointer	007C7080	initialized_data_pointer	DAT_007c7080	/undefined1		0	0	0		0
0079B198	PTR_s_STRATEGS_0079b198	/pointer	007C706C	string_pointer	s_STRATEGS_007c706c	/string		0	0	0		0
0079B19C	PTR_DAT_0079b19c	/pointer	007C7064	initialized_data_pointer	DAT_007c7064	/undefined1		0	0	0		0
0079B1A0	PTR_s_SAVE_DESC_0079b1a0	/pointer	007C7058	string_pointer	s_SAVE_DESC_007c7058	/string		0	0	0		0
0079B1A4	PTR_s_DESCRIPTOR_0079b1a4	/pointer	007C9FC8	string_pointer	s_DESCRIPTOR_007c9fc8	/string		0	0	0		0
0079B1A8	PTR_s_ANIM_PALETTE_0079b1a8	/pointer	007CAB4C	string_pointer	s_ANIM_PALETTE_007cab4c	/string		0	0	0		0
0079BFE8	PTR_s_MISSIONS\\_0079bfe8	/pointer	007CBCC8	string_pointer	s_MISSIONS\\_007cbcc8	/string		0	0	0		0
0079BFEC	PTR_DAT_0079bfec	/pointer	007CBCC0	initialized_data_pointer	DAT_007cbcc0			0	0	0		0
0079BFF0	PTR_s_TUTOR_0079bff0	/pointer	007CBCB8	string_pointer	s_TUTOR_007cbcb8	/string		0	0	0		0
0079C020	PTR_s_UPDATES\\_0079c020	/pointer	007C94C0	string_pointer	s_UPDATES\\_007c94c0	/string		0	0	0		0
0079C024	PTR_s_ST.INF_0079c024	/pointer	007C94B8	string_pointer	s_ST.INF_007c94b8	/string		0	0	0		0
0079C04C	PTR_s_SAVEGAME\\_0079c04c	/pointer	007C7094	string_pointer	s_SAVEGAME\\_007c7094	/string		0	0	0		0
0079C050	PTR_s_CUSTOM\\_0079c050	/pointer	007CC71C	string_pointer	s_CUSTOM\\_007cc71c	/string		0	0	0		0
0079C054	PTR_s_MISSIONS\\_0079c054	/pointer	007CBCC8	string_pointer	s_MISSIONS\\_007cbcc8	/string		0	0	0		0
0079C058	PTR_DAT_0079c058	/pointer	007C7080	initialized_data_pointer	DAT_007c7080	/undefined1		0	0	0		0
0079C05C	PTR_s_CAMPAIGN.VPS_0079c05c	/pointer	007CA094	string_pointer	s_CAMPAIGN.VPS_007ca094	/string		0	0	0		0
0079C060	PTR_s_ADDON_0079c060	/pointer	007CC714	string_pointer	s_ADDON_007cc714	/string		0	0	0		0
0079C064	PTR_s_MISSION_0079c064	/pointer	007CC708	string_pointer	s_MISSION_007cc708	/string		0	0	0		0
0079C068	PTR_DAT_0079c068	/pointer	007CC704	initialized_data_pointer	DAT_007cc704			0	0	0		0
0079C06C	PTR_DAT_0079c06c	/pointer	007C7064	initialized_data_pointer	DAT_007c7064	/undefined1		0	0	0		0
0079C070	PTR_s_SAVE_DESC_0079c070	/pointer	007C7058	string_pointer	s_SAVE_DESC_007c7058	/string		0	0	0		0
0079C074	PTR_s_OBJECTIVES_0079c074	/pointer	007C9FE4	string_pointer	s_OBJECTIVES_007c9fe4	/string		0	0	0		0
0079C078	PTR_s_DESCRIPTOR_0079c078	/pointer	007C9FC8	string_pointer	s_DESCRIPTOR_007c9fc8	/string		0	0	0		0
0079C0B8	PTR_s_SAVEGAME\\_0079c0b8	/pointer	007C7094	string_pointer	s_SAVEGAME\\_007c7094	/string		0	0	0		0
0079C0BC	PTR_s_CUSTOM\\_0079c0bc	/pointer	007CC71C	string_pointer	s_CUSTOM\\_007cc71c	/string		0	0	0		0
0079C0D4	PTR_s_SAVEGAME\\_0079c0d4	/pointer	007C7094	string_pointer	s_SAVEGAME\\_007c7094	/string		0	0	0		0
0079C0D8	PTR_s_PL_LOG_0079c0d8	/pointer	007CA67C	string_pointer	s_PL_LOG_007ca67c	/string		0	0	0		0
0079C0DC	PTR_DAT_0079c0dc	/pointer	007CCEC0	initialized_data_pointer	DAT_007ccec0	/undefined4		0	0	0		0
0079C0E8	PTR_s_MISSIONS\\_0079c0e8	/pointer	007CBCC8	string_pointer	s_MISSIONS\\_007cbcc8	/string		0	0	0		0
0079C0EC	PTR_s_SYSTEM\\_0079c0ec	/pointer	007C7088	string_pointer	s_SYSTEM\\_007c7088	/string		0	0	0		0
0079C0F0	PTR_DAT_0079c0f0	/pointer	007C7080	initialized_data_pointer	DAT_007c7080	/undefined1		0	0	0		0
0079C0F4	PTR_s_RANDOM_0079c0f4	/pointer	007CD0E0	string_pointer	s_RANDOM_007cd0e0	/string		0	0	0		0
0079C0F8	PTR_s_GENERATE_RND_0079c0f8	/pointer	007CD0D0	string_pointer	s_GENERATE_RND_007cd0d0	/string		0	0	0		0
0079C0FC	PTR_s_INTERFACE_RND_0079c0fc	/pointer	007CD0C0	string_pointer	s_INTERFACE_RND_007cd0c0	/string		0	0	0		0
0079C100	PTR_s_STRATEGS_0079c100	/pointer	007C706C	string_pointer	s_STRATEGS_007c706c	/string		0	0	0		0
0079C104	PTR_s_TITLE_MISSION_0079c104	/pointer	007CA004	string_pointer	s_TITLE_MISSION_007ca004	/string		0	0	0		0
