value_hex	value_decimal	known_names	handler_count	handlers
0x5DC5	24005	MESS_AIBOSSCLASSTY_5DC5	1	00648030 AiBossClassTy::GetMessage
0x5DC6	24006	MESS_AIBOSSCLASSTY_5DC6	1	00648030 AiBossClassTy::GetMessage
0x5DD0	24016	MESS_AIBOSSCLASSTY_5DD0	1	00648030 AiBossClassTy::GetMessage
0x5DD5	24021	MESS_SHARED_5DD5	2	00648030 AiBossClassTy::GetMessage | 00690B90 AiTactClassTy::GetMessage
0x5DEC	24044	MESS_SHARED_5DEC	2	00648030 AiBossClassTy::GetMessage | 0067C7E0 AiPlrClassTy::GetMessage
0x6102	24834	MESS_STARTSYSTEMTY_6102	1	005DCE90 StartSystemTy::GetMessage
0x6103	24835	MESS_STARTSYSTEMTY_6103	1	005DCE90 StartSystemTy::GetMessage
0x6104	24836	MESS_STARTSYSTEMTY_6104	2	0056FA60 STAppC::GetMessage | 005DCE90 StartSystemTy::GetMessage
0x6105	24837	MESS_SHARED_6105	5	005A4350 FSGSTy::GetMessage | 005B0BA0 ChooseMapTy::GetMessage | 005C8A40 SettMapTy::GetMessage | 005DCE90 StartSystemTy::GetMessage | 005EA680 WaitTy::GetMessage
0x6109	24841	MESS_SHARED_6109	3	005BC5E0 PrividerTy::GetMessage | 005C8A40 SettMapTy::GetMessage | 005DCE90 StartSystemTy::GetMessage
0x610A	24842	MESS_SHARED_610A	6	0056FA60 STAppC::GetMessage | 005B0BA0 ChooseMapTy::GetMessage | 005BC5E0 PrividerTy::GetMessage | 005C8A40 SettMapTy::GetMessage | 005DCE90 StartSystemTy::GetMessage | 005EA680 WaitTy::GetMessage
0x611F	24863	MESS_SHARED_611F	3	0056FA60 STAppC::GetMessage | 005BC5E0 PrividerTy::GetMessage | 005DCE90 StartSystemTy::GetMessage
0x6120	24864	MESS_SHARED_6120	2	005B0BA0 ChooseMapTy::GetMessage | 005DCE90 StartSystemTy::GetMessage
0x6121	24865	MESS_SHARED_6121	3	005B0BA0 ChooseMapTy::GetMessage | 005BC5E0 PrividerTy::GetMessage | 005EA680 WaitTy::GetMessage
0x6122	24866	MESS_STAPPC_6122	1	0056FA60 STAppC::GetMessage
0x6123	24867	MESS_STAPPC_6123	1	0056FA60 STAppC::GetMessage
0x6124	24868	MESS_STARTSYSTEMTY_6124	2	0056FA60 STAppC::GetMessage | 005DCE90 StartSystemTy::GetMessage
0x6150	24912	MESS_FSGSTY_6150	1	005A4350 FSGSTy::GetMessage
0x6151	24913	MESS_FSGSTY_6151	1	005A4350 FSGSTy::GetMessage
0x6156	24918	MESS_FSGSTY_6156	1	005A4350 FSGSTy::GetMessage
0x6200	25088	MESS_SHARED_6200	4	0051DDD0 HelpPanelTy::GetMessage | 0053AFB0 PlayPanelTy::GetMessage | 005C1A90 MReportTy::GetMessage | 005E4570 MTaskTy::GetMessage
0x6201	25089	MESS_PLAYPANELTY_6201	1	0053AFB0 PlayPanelTy::GetMessage
0x6202	25090	MESS_PLAYPANELTY_6202	1	0053AFB0 PlayPanelTy::GetMessage
0x6203	25091	MESS_SETTMAPTY_6203	1	005C8A40 SettMapTy::GetMessage
0x6212	25106	MESS_MTASKTY_6212	1	005E4570 MTaskTy::GetMessage
0x6213	25107	MESS_MTASKTY_6213	2	005C1A90 MReportTy::GetMessage | 005E4570 MTaskTy::GetMessage
0x6214	25108	MESS_MREPORTTY_6214	2	005C1A90 MReportTy::GetMessage | 005E4570 MTaskTy::GetMessage
0x6215	25109	MESS_MREPORTTY_6215	2	005C1A90 MReportTy::GetMessage | 005E4570 MTaskTy::GetMessage
0x6216	25110	MESS_MTASKTY_6216	1	005E4570 MTaskTy::GetMessage
0x6217	25111	MESS_MTASKTY_6217	1	005E4570 MTaskTy::GetMessage
0x631F	25375	MESS_PRIVIDERTY_631F	1	005BC5E0 PrividerTy::GetMessage
0x6326	25382	MESS_SHARED_6326	2	005B0BA0 ChooseMapTy::GetMessage | 005D1400 SettMapMTy::GetMessage
0x6327	25383	MESS_CHOOSEMAPTY_6327	2	005B0BA0 ChooseMapTy::GetMessage | 005D1400 SettMapMTy::GetMessage
0x6332	25394	MESS_SHARED_6332	6	0051DDD0 HelpPanelTy::GetMessage | 00533D10 OptPanelTy::GetMessage | 005C8A40 SettMapTy::GetMessage | 005DCE90 StartSystemTy::GetMessage | 005E4570 MTaskTy::GetMessage | 005EA680 WaitTy::GetMessage
0x6333	25395	MESS_WAITTY_6333	4	005A4350 FSGSTy::GetMessage | 005C8A40 SettMapTy::GetMessage | 005E4570 MTaskTy::GetMessage | 005EA680 WaitTy::GetMessage
0x6334	25396	MESS_SHARED_6334	4	005A4350 FSGSTy::GetMessage | 005C8A40 SettMapTy::GetMessage | 005E4570 MTaskTy::GetMessage | 005EA680 WaitTy::GetMessage
0x6335	25397	MESS_WAITTY_6335	5	005A4350 FSGSTy::GetMessage | 005B0BA0 ChooseMapTy::GetMessage | 005C8A40 SettMapTy::GetMessage | 005DCE90 StartSystemTy::GetMessage | 005EA680 WaitTy::GetMessage
0x6339	25401	MESS_MTASKTY_6339	1	005E4570 MTaskTy::GetMessage
0x633F	25407	MESS_STARTSYSTEMTY_633F	1	005DCE90 StartSystemTy::GetMessage
0x6340	25408	MESS_SETTMAPMTY_6340	3	005B0BA0 ChooseMapTy::GetMessage | 005D1400 SettMapMTy::GetMessage | 005EA680 WaitTy::GetMessage
0x6341	25409	MESS_SHARED_6341	4	005B0BA0 ChooseMapTy::GetMessage | 005D1400 SettMapMTy::GetMessage | 005DCE90 StartSystemTy::GetMessage | 005EA680 WaitTy::GetMessage
0x63FF	25599	MESS_ID_MSGOK	1	005A4350 FSGSTy::GetMessage
0x64FF	25855	MESS_SHARED_64FF	3	005BC5E0 PrividerTy::GetMessage | 005C8A40 SettMapTy::GetMessage | 005D1400 SettMapMTy::GetMessage
0x6500	25856	MESS_SETTMAPTY_6500	1	005C8A40 SettMapTy::GetMessage
0x6501	25857	MESS_SHARED_6501	3	005BC5E0 PrividerTy::GetMessage | 005D1400 SettMapMTy::GetMessage | 005D5560 SettMapSTy::GetMessage
0x6502	25858	MESS_PRIVIDERTY_6502	3	005BC5E0 PrividerTy::GetMessage | 005D1400 SettMapMTy::GetMessage | 005D5560 SettMapSTy::GetMessage
0x6503	25859	MESS_SETTMAPTY_6503	1	005C8A40 SettMapTy::GetMessage
0x6504	25860	MESS_SHARED_6504	2	005D1400 SettMapMTy::GetMessage | 005D5560 SettMapSTy::GetMessage
0x6505	25861	MESS_SETTMAPSTY_6505	1	005D5560 SettMapSTy::GetMessage
0x6506	25862	MESS_FSGSTY_6506	1	005A4350 FSGSTy::GetMessage
0x6547	25927	MESS_SETTMAPTY_6547	1	005C8A40 SettMapTy::GetMessage
0x6548	25928	MESS_SETTMAPTY_6548	1	005C8A40 SettMapTy::GetMessage
0x6549	25929	MESS_SETTMAPMTY_6549	1	005D1400 SettMapMTy::GetMessage
0x654A	25930	MESS_SETTMAPMTY_654A	1	005D1400 SettMapMTy::GetMessage
0x654B	25931	MESS_SETTMAPMTY_654B	1	005D1400 SettMapMTy::GetMessage
0x654C	25932	MESS_SETTMAPMTY_654C	1	005D1400 SettMapMTy::GetMessage
0x654D	25933	MESS_SETTMAPTY_654D	2	005C8A40 SettMapTy::GetMessage | 005D1400 SettMapMTy::GetMessage
0x657F	25983	MESS_SETTMAPTY_657F	1	005C8A40 SettMapTy::GetMessage
0x658D	25997	MESS_SETTMAPTY_658D	1	005C8A40 SettMapTy::GetMessage
0x68FF	26879	MESS_MMSGTY_68FF	7	00593040 CampaignTy::GetMessage | 005A4350 FSGSTy::GetMessage | 005B4BB0 MainMenuTy::GetMessage | 005B9330 MMsgTy::GetMessage | 005C1A90 MReportTy::GetMessage | 005C8A40 SettMapTy::GetMessage | 005D9470 SIDTy::GetMessage
0x6900	26880	MESS_SHARED_6900	4	005A4350 FSGSTy::GetMessage | 005B4BB0 MainMenuTy::GetMessage | 005C1A90 MReportTy::GetMessage | 005D9470 SIDTy::GetMessage
0x6901	26881	MESS_FSGSTY_6901	3	005A4350 FSGSTy::GetMessage | 005B4BB0 MainMenuTy::GetMessage | 005D9470 SIDTy::GetMessage
0x6902	26882	MESS_MAINMENUTY_6902	2	005A4350 FSGSTy::GetMessage | 005B4BB0 MainMenuTy::GetMessage
0x6903	26883	MESS_FSGSTY_6903	1	005A4350 FSGSTy::GetMessage
0x6904	26884	MESS_FSGSTY_6904	1	005A4350 FSGSTy::GetMessage
0x6905	26885	MESS_FSGSTY_6905	1	005A4350 FSGSTy::GetMessage
0x6906	26886	MESS_FSGSTY_6906	1	005A4350 FSGSTy::GetMessage
0x693F	26943	MESS_PRIVIDERTY_693F	6	00593040 CampaignTy::GetMessage | 005B0BA0 ChooseMapTy::GetMessage | 005BC5E0 PrividerTy::GetMessage | 005C1A90 MReportTy::GetMessage | 005DCE90 StartSystemTy::GetMessage | 005EA680 WaitTy::GetMessage
0x6940	26944	MESS_SHARED_6940	6	00593040 CampaignTy::GetMessage | 005B0BA0 ChooseMapTy::GetMessage | 005BC5E0 PrividerTy::GetMessage | 005C1A90 MReportTy::GetMessage | 005DCE90 StartSystemTy::GetMessage | 005EA680 WaitTy::GetMessage
0x6941	26945	MESS_FSGSTY_6941	1	005A4350 FSGSTy::GetMessage
0x6942	26946	MESS_CHOOSEMAPTY_6942	2	005B0BA0 ChooseMapTy::GetMessage | 005EA680 WaitTy::GetMessage
0x6943	26947	MESS_WAITTY_6943	1	005EA680 WaitTy::GetMessage
0x6944	26948	MESS_MAINMENUTY_6944	1	005B4BB0 MainMenuTy::GetMessage
0x6949	26953	MESS_FSGSTY_6949	1	005A4350 FSGSTy::GetMessage
0x694A	26954	MESS_FSGSTY_694A	3	005A4350 FSGSTy::GetMessage | 005D1400 SettMapMTy::GetMessage | 005D5560 SettMapSTy::GetMessage
0x694D	26957	MESS_WAITTY_694D	1	005EA680 WaitTy::GetMessage
0x6951	26961	MESS_SHARED_6951	2	005B0BA0 ChooseMapTy::GetMessage | 005EA680 WaitTy::GetMessage
0x6952	26962	MESS_PRIVIDERTY_6952	1	005BC5E0 PrividerTy::GetMessage
0x6956	26966	MESS_CHOOSEMAPTY_6956	1	005B0BA0 ChooseMapTy::GetMessage
0x6957	26967	MESS_FSGSTY_6957	1	005A4350 FSGSTy::GetMessage
0x697F	27007	MESS_SHARED_697F	6	00593040 CampaignTy::GetMessage | 005A4350 FSGSTy::GetMessage | 005B4BB0 MainMenuTy::GetMessage | 005B9330 MMsgTy::GetMessage | 005C1A90 MReportTy::GetMessage | 005D9470 SIDTy::GetMessage
0x6980	27008	MESS_SHARED_6980	2	005C1A90 MReportTy::GetMessage | 005D9470 SIDTy::GetMessage
0x6981	27009	MESS_SIDTY_6981	1	005D9470 SIDTy::GetMessage
0x6983	27011	MESS_MAINMENUTY_6983	2	005B4BB0 MainMenuTy::GetMessage | 005C8A40 SettMapTy::GetMessage
0x6986	27014	MESS_MMSGTY_6986	1	005B9330 MMsgTy::GetMessage
0x698A	27018	MESS_FSGSTY_698A	1	005A4350 FSGSTy::GetMessage
