target	action	status	detail
0042D370@0042D48C	apply	unchanged	exact call-site ABI already present
0042E210@0042EBA5	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004353B0@0043542C	apply	unchanged	exact call-site ABI already present
004353B0@00435477	apply	unchanged	exact call-site ABI already present
00436F20@0043719D	apply	unchanged	exact call-site ABI already present
00436F20@0043777A	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00436F20@00437F05	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0043E460@0043E499	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0043E4E0@0043E570	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0043E640@0043E691	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0043E780@0043E80E	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0043EED0@0043EF86	apply	unchanged	exact call-site ABI already present
00440AA0@00440BA1	apply	unchanged	exact call-site ABI already present
00440AA0@00440C0F	apply	unchanged	exact call-site ABI already present
00440AA0@00440E61	apply	unchanged	exact call-site ABI already present
00445A40@00445B10	apply	unchanged	exact call-site ABI already present
00445A40@00445B8F	apply	unchanged	exact call-site ABI already present
0044B5F0@0044B673	apply	unchanged	exact call-site ABI already present
0044B5F0@0044B682	apply	unchanged	exact call-site ABI already present
0044B5F0@0044B710	apply	unchanged	exact call-site ABI already present
0044B5F0@0044B71E	apply	unchanged	exact call-site ABI already present
0044B5F0@0044B7F5	apply	unchanged	exact call-site ABI already present
0044B5F0@0044B804	apply	unchanged	exact call-site ABI already present
0044B5F0@0044B8A2	apply	unchanged	exact call-site ABI already present
0044B5F0@0044B8B1	apply	unchanged	exact call-site ABI already present
0044B5F0@0044B94B	apply	unchanged	exact call-site ABI already present
0044B5F0@0044B95A	apply	unchanged	exact call-site ABI already present
0044B5F0@0044B9F4	apply	unchanged	exact call-site ABI already present
0044B5F0@0044BA03	apply	unchanged	exact call-site ABI already present
0044B5F0@0044BAF8	apply	unchanged	exact call-site ABI already present
0044B5F0@0044BB06	apply	unchanged	exact call-site ABI already present
0044B5F0@0044BBCC	apply	unchanged	exact call-site ABI already present
0044E260@0044E2DD	apply	unchanged	exact call-site ABI already present
0044EE30@0044F7E5	apply	unchanged	exact call-site ABI already present
0044EE30@00450B38	apply	unchanged	exact call-site ABI already present
0044EE30@004596B2	apply	unchanged	exact call-site ABI already present
0044EE30@00459A1F	apply	unchanged	exact call-site ABI already present
0044EE30@0045A010	apply	unchanged	exact call-site ABI already present
0044EE30@0045A06D	apply	unchanged	exact call-site ABI already present
0044EE30@0045A8D2	apply	unchanged	exact call-site ABI already present
0044EE30@0045A923	apply	unchanged	exact call-site ABI already present
00462180@00462C61	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@00462C6E	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@00462FF5	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@00463001	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@00463662	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@004637D2	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@004639FE	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@00463A52	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@00463BB5	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@00463C20	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@00463D76	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@00463F8B	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@00464165	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@004644F9	apply	unchanged	exact call-site ABI already present
00462180@00464518	apply	unchanged	exact call-site ABI already present
00462180@0046465A	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@004647CA	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00462180@00464887	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00465C60@00467442	apply	unchanged	exact call-site ABI already present
00465C60@004674A2	apply	unchanged	exact call-site ABI already present
0046B100@0046BECB	apply	unchanged	exact call-site ABI already present
0046B100@0046BF4D	apply	unchanged	exact call-site ABI already present
0046D450@0046D57C	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0046D450@0046D588	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0046D450@0046D61E	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0046D450@0046D62A	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0046D450@0046D932	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0046D450@0046D93E	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0046D450@0046DABF	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0046D450@0046DACB	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0046F5C0@0046FB03	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0046F5C0@0046FC9A	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0046F5C0@0046FF78	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0046F5C0@0047005F	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004732F0@00473410	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004732F0@00473423	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004732F0@004735E4	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004732F0@004735F8	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004732F0@004737C3	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004732F0@004737D7	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004732F0@00473A09	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004732F0@00473A19	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004732F0@00473EF1	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004732F0@00473F05	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004732F0@00473F19	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00476CE0@00476E10	apply	unchanged	exact call-site ABI already present
00476CE0@00476EB4	apply	unchanged	exact call-site ABI already present
00476CE0@00477422	apply	unchanged	exact call-site ABI already present
00476CE0@00477535	apply	unchanged	exact call-site ABI already present
00476CE0@0047758C	apply	unchanged	exact call-site ABI already present
00476CE0@00477592	apply	unchanged	exact call-site ABI already present
00476CE0@00477604	apply	unchanged	exact call-site ABI already present
00478030@00478257	apply	unchanged	exact call-site ABI already present
00478640@004787CC	apply	unchanged	exact call-site ABI already present
00478640@00478955	apply	unchanged	exact call-site ABI already present
00478640@00478AE1	apply	unchanged	exact call-site ABI already present
00478640@00478C93	apply	unchanged	exact call-site ABI already present
00478640@00478DFD	apply	unchanged	exact call-site ABI already present
00478640@00478F18	apply	unchanged	exact call-site ABI already present
00478640@004791E9	apply	unchanged	exact call-site ABI already present
00479600@0047971E	apply	unchanged	exact call-site ABI already present
00479600@004797B5	apply	unchanged	exact call-site ABI already present
00479600@004798B4	apply	unchanged	exact call-site ABI already present
00479600@0047994F	apply	unchanged	exact call-site ABI already present
00479600@00479A6E	apply	unchanged	exact call-site ABI already present
00479600@00479B06	apply	unchanged	exact call-site ABI already present
00479600@00479C5F	apply	unchanged	exact call-site ABI already present
00479600@00479CF7	apply	unchanged	exact call-site ABI already present
00479600@00479E22	apply	unchanged	exact call-site ABI already present
00479600@00479EFA	apply	unchanged	exact call-site ABI already present
00479600@00479F96	apply	unchanged	exact call-site ABI already present
00479600@0047A32E	apply	unchanged	exact call-site ABI already present
00479600@0047A40F	apply	unchanged	exact call-site ABI already present
00479600@0047ACAF	apply	unchanged	exact call-site ABI already present
00479600@0047B094	apply	unchanged	exact call-site ABI already present
00479600@0047B131	apply	unchanged	exact call-site ABI already present
0047C050@0047C172	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0047C050@0047C2AE	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0047C050@0047C3C3	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0047C050@0047C555	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0047C050@0047C66C	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0047C050@0047C73F	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0047C050@0047C832	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0047C050@0047CB8C	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0047D080@0047D530	apply	unchanged	exact call-site ABI already present
0047D080@0047D66B	apply	unchanged	exact call-site ABI already present
0047D080@0047D789	apply	unchanged	exact call-site ABI already present
0047D080@0047D7E4	apply	unchanged	exact call-site ABI already present
00483300@004833C6	apply	unchanged	exact call-site ABI already present
00483300@004833D8	apply	unchanged	exact call-site ABI already present
00483300@004833EE	apply	unchanged	exact call-site ABI already present
004899A0@00489A10	apply	unchanged	exact call-site ABI already present
004899A0@00489A20	apply	unchanged	exact call-site ABI already present
004899A0@00489A34	apply	unchanged	exact call-site ABI already present
004899A0@00489B73	apply	unchanged	exact call-site ABI already present
004899A0@00489B86	apply	unchanged	exact call-site ABI already present
004899A0@00489B9D	apply	unchanged	exact call-site ABI already present
004899A0@00489BB0	apply	unchanged	exact call-site ABI already present
004899A0@00489E5B	apply	unchanged	exact call-site ABI already present
004899A0@00489F91	apply	unchanged	exact call-site ABI already present
004899A0@00489FA4	apply	unchanged	exact call-site ABI already present
004899A0@00489FBB	apply	unchanged	exact call-site ABI already present
004899A0@0048A1A1	apply	unchanged	exact call-site ABI already present
004899A0@0048A288	apply	unchanged	exact call-site ABI already present
0048CEA0@0048CF62	apply	unchanged	exact call-site ABI already present
0048CEA0@0048CF75	apply	unchanged	exact call-site ABI already present
0048CEA0@0048CF88	apply	unchanged	exact call-site ABI already present
00491600@004916CB	apply	unchanged	exact call-site ABI already present
00491720@004917AA	apply	unchanged	exact call-site ABI already present
00492B20@00492B70	apply	unchanged	exact call-site ABI already present
00492FC0@0049300D	apply	unchanged	exact call-site ABI already present
00493BC0@00493C59	apply	unchanged	exact call-site ABI already present
00499DE0@00499ECC	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00499DE0@00499F14	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00499DE0@0049A010	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049AAF0@0049AC4D	apply	unchanged	exact call-site ABI already present
0049AAF0@0049AC64	apply	unchanged	exact call-site ABI already present
0049AAF0@0049AEEC	apply	unchanged	exact call-site ABI already present
0049AAF0@0049AF03	apply	unchanged	exact call-site ABI already present
0049AAF0@0049B092	apply	unchanged	exact call-site ABI already present
0049AAF0@0049B0A6	apply	unchanged	exact call-site ABI already present
0049C210@0049C96A	apply	unchanged	exact call-site ABI already present
0049CD30@0049CE8B	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049CD30@0049CE97	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049CD30@0049CEA3	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049CD30@0049D05E	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049CD30@0049D06A	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049CD30@0049D076	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049D230@0049D345	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049D230@0049D351	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049D230@0049D35D	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049DFA0@0049E0E5	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049DFA0@0049E108	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049DFA0@0049E2ED	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049DFA0@0049E2FC	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049E510@0049E62C	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049E510@0049E63E	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049E510@0049E836	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049E510@0049E844	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049F100@0049F22D	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049F100@0049F239	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049F100@0049F245	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049F100@0049F33B	apply	unchanged	exact call-site ABI already present
0049FBF0@0049FD09	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049FBF0@0049FD15	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0049FBF0@0049FD21	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0040@004A0251	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0040@004A025D	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0040@004A0269	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0040@004A039D	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0040@004A03A9	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0040@004A03B5	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0990@004A0AD5	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0990@004A0AF8	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0990@004A0CD8	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0990@004A0CE7	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A157C	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A1588	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A1594	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A1813	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A181F	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A182B	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A1A12	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A1A1E	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A1A2A	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A1DD5	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A1DF6	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A1FCC	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A1FDE	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A2638	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A2644	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A2650	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A2812	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A281E	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A282A	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A2B04	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A0FA0@004A2B25	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A3430@004A3540	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A3430@004A354C	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004A3430@004A3558	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004B1FB0@004B21CD	apply	unchanged	exact call-site ABI already present
004B33D0@004B42C6	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004B33D0@004B42D5	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004B33D0@004B42E4	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004B33D0@004B42F3	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004B33D0@004B434F	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004B33D0@004B4F13	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004B33D0@004B4F20	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004B9BB0@004B9C85	apply	unchanged	exact call-site ABI already present
004B9FA0@004BA64C	apply	unchanged	exact call-site ABI already present
004B9FA0@004BB657	apply	unchanged	exact call-site ABI already present
004B9FA0@004BBDD0	apply	unchanged	exact call-site ABI already present
004C3C00@004C3DF8	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004C3C00@004C41A9	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004C3C00@004C41F1	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004CCC10@004CCDE7	apply	unchanged	exact call-site ABI already present
004DA9C0@004DAE78	apply	unchanged	exact call-site ABI already present
004E1930@004E19FF	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004E2AD0@004E2BBB	apply	unchanged	exact call-site ABI already present
004E2C30@004E2D46	apply	unchanged	exact call-site ABI already present
004E2C30@004E2E4D	apply	unchanged	exact call-site ABI already present
004E3120@004E31AB	apply	unchanged	exact call-site ABI already present
004E46F0@004E4854	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
004EE4D0@004EE5B8	apply	unchanged	exact call-site ABI already present
004F5690@004F70EB	apply	unchanged	exact call-site ABI already present
004F96A0@004F9AEE	apply	unchanged	exact call-site ABI already present
004FB060@004FBB82	apply	unchanged	exact call-site ABI already present
004FB060@004FBBB7	apply	unchanged	exact call-site ABI already present
00511DF0@00511EC2	apply	unchanged	exact call-site ABI already present
005135F0@00513695	apply	unchanged	exact call-site ABI already present
00513810@0051388D	apply	unchanged	exact call-site ABI already present
00513A40@00513B09	apply	unchanged	exact call-site ABI already present
00516300@005163B9	apply	unchanged	exact call-site ABI already present
00516480@0051654A	apply	unchanged	exact call-site ABI already present
00516A40@00516B38	apply	unchanged	exact call-site ABI already present
00517A50@00517B91	apply	unchanged	exact call-site ABI already present
00518C20@00518D05	apply	unchanged	exact call-site ABI already present
0051A100@0051A1F2	apply	unchanged	exact call-site ABI already present
0051B5A0@0051B6AA	apply	unchanged	exact call-site ABI already present
0051C980@0051CA77	apply	unchanged	exact call-site ABI already present
0051D360@0051D42F	apply	unchanged	exact call-site ABI already present
0051D540@0051D632	apply	unchanged	exact call-site ABI already present
0051DDD0@0051E1F4	apply	unchanged	exact call-site ABI already present
0051DDD0@0051E227	apply	unchanged	exact call-site ABI already present
00521490@005215EA	apply	unchanged	exact call-site ABI already present
00521490@0052161A	apply	unchanged	exact call-site ABI already present
0052BF00@0052C574	apply	unchanged	exact call-site ABI already present
0052BF00@0052C59F	apply	unchanged	exact call-site ABI already present
00533D10@00534487	apply	unchanged	exact call-site ABI already present
00533D10@0053469B	apply	unchanged	exact call-site ABI already present
00533D10@005346F1	apply	unchanged	exact call-site ABI already present
00533D10@00534D55	apply	unchanged	exact call-site ABI already present
00533D10@0053591F	apply	unchanged	exact call-site ABI already present
005397F0@005399A0	apply	unchanged	exact call-site ABI already present
0053E760@0053E839	apply	unchanged	exact call-site ABI already present
005449B0@005464BF	apply	unchanged	exact call-site ABI already present
0054C740@0054C7E3	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0055BEB0@0055BEED	apply	unchanged	exact call-site ABI already present
0055C500@0055C537	apply	unchanged	exact call-site ABI already present
0055C550@0055C576	apply	unchanged	exact call-site ABI already present
0055C6C0@0055C711	apply	unchanged	exact call-site ABI already present
0055C740@0055C777	apply	unchanged	exact call-site ABI already present
0055C790@0055C7C6	apply	unchanged	exact call-site ABI already present
0055C7E0@0055C816	apply	unchanged	exact call-site ABI already present
0055C830@0055CFF8	apply	unchanged	exact call-site ABI already present
0056CBD0@0056CEC0	apply	unchanged	exact call-site ABI already present
0056DB80@0056E534	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0056FA60@00570C55	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0056FA60@00570C7A	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
005776D0@00577EF8	apply	unchanged	exact call-site ABI already present
0057A2C0@0057A86C	apply	unchanged	exact call-site ABI already present
0057A2C0@0057A982	apply	unchanged	exact call-site ABI already present
00581200@00581381	apply	unchanged	exact call-site ABI already present
00581200@00581430	apply	unchanged	exact call-site ABI already present
00581200@005815F6	apply	unchanged	exact call-site ABI already present
00581200@00581734	apply	unchanged	exact call-site ABI already present
005825C0@005826B8	apply	unchanged	exact call-site ABI already present
005825C0@005829D0	apply	unchanged	exact call-site ABI already present
005825C0@00582A97	apply	unchanged	exact call-site ABI already present
005825C0@00582BC7	apply	unchanged	exact call-site ABI already present
005825C0@00582BF4	apply	unchanged	exact call-site ABI already present
005825C0@00582C8C	apply	unchanged	exact call-site ABI already present
005825C0@00582D95	apply	unchanged	exact call-site ABI already present
00584060@0058409B	apply	unchanged	exact call-site ABI already present
00586320@005864BC	apply	unchanged	exact call-site ABI already present
00586320@005864F5	apply	unchanged	exact call-site ABI already present
00586320@005867BF	apply	unchanged	exact call-site ABI already present
00586320@00586906	apply	unchanged	exact call-site ABI already present
00586AF0@00586CE8	apply	unchanged	exact call-site ABI already present
00586AF0@005871F2	apply	unchanged	exact call-site ABI already present
00586AF0@0058750E	apply	unchanged	exact call-site ABI already present
00586AF0@00587E71	apply	unchanged	exact call-site ABI already present
00586AF0@00588174	apply	unchanged	exact call-site ABI already present
0058E570@0058E8CB	apply	unchanged	exact call-site ABI already present
005A1160@005A131F	apply	unchanged	exact call-site ABI already present
005A1630@005A181B	apply	unchanged	exact call-site ABI already present
005A4350@005A4570	apply	unchanged	exact call-site ABI already present
005A4350@005A469A	apply	unchanged	exact call-site ABI already present
005A4350@005A4B62	apply	unchanged	exact call-site ABI already present
005AD390@005ADBE3	apply	unchanged	exact call-site ABI already present
005B0BA0@005B1C4E	apply	unchanged	exact call-site ABI already present
005B0BA0@005B1C85	apply	unchanged	exact call-site ABI already present
005B0BA0@005B1C9B	apply	unchanged	exact call-site ABI already present
005B0BA0@005B1CB1	apply	unchanged	exact call-site ABI already present
005BAE00@005BB64A	apply	unchanged	exact call-site ABI already present
005BC5E0@005BCCC8	apply	unchanged	exact call-site ABI already present
005C1A90@005C1C06	apply	unchanged	exact call-site ABI already present
005C1A90@005C1C36	apply	unchanged	exact call-site ABI already present
005C29B0@005C42BF	apply	unchanged	exact call-site ABI already present
005C7800@005C784A	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
005C8200@005C85F3	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
005C8200@005C8678	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
005CE0E0@005CE379	apply	unchanged	exact call-site ABI already present
005CE0E0@005CEA4B	apply	unchanged	exact call-site ABI already present
005CE0E0@005CEDE7	apply	unchanged	exact call-site ABI already present
005CE0E0@005CEE09	apply	unchanged	exact call-site ABI already present
005CE0E0@005CEE22	apply	unchanged	exact call-site ABI already present
005CE0E0@005CF38A	apply	unchanged	exact call-site ABI already present
005D5160@005D5431	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
005D5560@005D5DBE	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
005D9470@005D9847	apply	unchanged	exact call-site ABI already present
005E84D0@005E91FF	apply	unchanged	exact call-site ABI already present
005E84D0@005E9293	apply	unchanged	exact call-site ABI already present
005EBD80@005EC02D	apply	unchanged	exact call-site ABI already present
005EBD80@005EC043	apply	unchanged	exact call-site ABI already present
005EC6A0@005EC70F	apply	unchanged	exact call-site ABI already present
005EDA50@005EDB11	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
005F05A0@005F05EF	apply	unchanged	exact call-site ABI already present
005F0620@005F0690	apply	unchanged	exact call-site ABI already present
005F06E0@005F0750	apply	unchanged	exact call-site ABI already present
005F07A0@005F0883	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
005F0D00@005F0D68	apply	unchanged	exact call-site ABI already present
005F0D90@005F0DF8	apply	unchanged	exact call-site ABI already present
005FA8B0@005FA937	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
005FC4A0@005FC74D	apply	unchanged	exact call-site ABI already present
005FC4A0@005FC763	apply	unchanged	exact call-site ABI already present
005FCEB0@005FCF1B	apply	unchanged	exact call-site ABI already present
005FD750@005FD7B3	apply	unchanged	exact call-site ABI already present
