apply	action	function_address	function_name	call_address	slot_offset	expected_override	proposed_calling_convention	receiver_type	stack_parameter_count	proposed_parameter_types	proposed_return_type	signature_function_address	signature_function	confidence	evidence
1	apply	004FB060	CPanelTy::GetMessage	004FBB82	0	__thiscall;/int;pointer:/CursorClassTy;pointer:/SubmarineTitans/Recovered/STMessage	__thiscall	pointer:/CursorClassTy	1	pointer:/SubmarineTitans/Recovered/STMessage	/int			high	exact CALLIND at physical slot 0x0; observed_pushes=1; ECX=DWORD PTR [0X00802A30]; physical_vtable_paths=[/SubmarineTitans/Recovered/VTables/CursorClassTyVTable]; receiver_paths=[/CursorClassTy, /SubmarineTitans/Recovered/STMessage]; exact physical-slot use-site view; raw receiver transport remains neutral in the containing function to avoid derived-layout back-propagation without recovered inheritance
1	apply	004FB060	CPanelTy::GetMessage	004FBBB7	0	__thiscall;/int;pointer:/CursorClassTy;pointer:/SubmarineTitans/Recovered/STMessage	__thiscall	pointer:/CursorClassTy	1	pointer:/SubmarineTitans/Recovered/STMessage	/int			high	exact CALLIND at physical slot 0x0; observed_pushes=1; ECX=DWORD PTR [0X00802A30]; physical_vtable_paths=[/SubmarineTitans/Recovered/VTables/CursorClassTyVTable]; receiver_paths=[/CursorClassTy, /SubmarineTitans/Recovered/STMessage]; exact physical-slot use-site view; raw receiver transport remains neutral in the containing function to avoid derived-layout back-propagation without recovered inheritance
1	apply	00511DF0	HelpPanelTy::SwitchOptPanel	00511EC2	0	__thiscall;/int;pointer:/CursorClassTy;pointer:/SubmarineTitans/Recovered/STMessage	__thiscall	pointer:/CursorClassTy	1	pointer:/SubmarineTitans/Recovered/STMessage	/int			high	exact CALLIND at physical slot 0x0; observed_pushes=1; ECX=ECX; physical_vtable_paths=[/SubmarineTitans/Recovered/VTables/CursorClassTyVTable]; receiver_paths=[/CursorClassTy, /SubmarineTitans/Recovered/STMessage]; exact physical-slot use-site view; raw receiver transport remains neutral in the containing function to avoid derived-layout back-propagation without recovered inheritance
1	apply	005135F0	HelpPanelTy::HomeBut	00513695	0	__thiscall;/int;pointer:/CursorClassTy;pointer:/SubmarineTitans/Recovered/STMessage	__thiscall	pointer:/CursorClassTy	1	pointer:/SubmarineTitans/Recovered/STMessage	/int			high	exact CALLIND at physical slot 0x0; observed_pushes=1; ECX=ECX; physical_vtable_paths=[/SubmarineTitans/Recovered/VTables/CursorClassTyVTable]; receiver_paths=[/CursorClassTy, /SubmarineTitans/Recovered/STMessage]; exact physical-slot use-site view; raw receiver transport remains neutral in the containing function to avoid derived-layout back-propagation without recovered inheritance
1	apply	00513810	HelpPanelTy::BackBut	0051388D	0	__thiscall;/int;pointer:/CursorClassTy;pointer:/SubmarineTitans/Recovered/STMessage	__thiscall	pointer:/CursorClassTy	1	pointer:/SubmarineTitans/Recovered/STMessage	/int			high	exact CALLIND at physical slot 0x0; observed_pushes=1; ECX=ECX; physical_vtable_paths=[/SubmarineTitans/Recovered/VTables/CursorClassTyVTable]; receiver_paths=[/CursorClassTy, /SubmarineTitans/Recovered/STMessage]; exact physical-slot use-site view; raw receiver transport remains neutral in the containing function to avoid derived-layout back-propagation without recovered inheritance
1	apply	00513A40	HelpPanelTy::IndexBut	00513B09	0	__thiscall;/int;pointer:/CursorClassTy;pointer:/SubmarineTitans/Recovered/STMessage	__thiscall	pointer:/CursorClassTy	1	pointer:/SubmarineTitans/Recovered/STMessage	/int			high	exact CALLIND at physical slot 0x0; observed_pushes=1; ECX=ECX; physical_vtable_paths=[/SubmarineTitans/Recovered/VTables/CursorClassTyVTable]; receiver_paths=[/CursorClassTy, /SubmarineTitans/Recovered/STMessage]; exact physical-slot use-site view; raw receiver transport remains neutral in the containing function to avoid derived-layout back-propagation without recovered inheritance
1	apply	00516300	HelpPanelTy::MObjProc	005163B9	0	__thiscall;/int;pointer:/CursorClassTy;pointer:/SubmarineTitans/Recovered/STMessage	__thiscall	pointer:/CursorClassTy	1	pointer:/SubmarineTitans/Recovered/STMessage	/int			high	exact CALLIND at physical slot 0x0; observed_pushes=1; ECX=ECX; physical_vtable_paths=[/SubmarineTitans/Recovered/VTables/CursorClassTyVTable]; receiver_paths=[/CursorClassTy, /SubmarineTitans/Recovered/STMessage]; exact physical-slot use-site view; raw receiver transport remains neutral in the containing function to avoid derived-layout back-propagation without recovered inheritance
1	apply	00516480	HelpPanelTy::TTreeProc	0051654A	0	__thiscall;/int;pointer:/CursorClassTy;pointer:/SubmarineTitans/Recovered/STMessage	__thiscall	pointer:/CursorClassTy	1	pointer:/SubmarineTitans/Recovered/STMessage	/int			high	exact CALLIND at physical slot 0x0; observed_pushes=1; ECX=ECX; physical_vtable_paths=[/SubmarineTitans/Recovered/VTables/CursorClassTyVTable]; receiver_paths=[/CursorClassTy, /SubmarineTitans/Recovered/STMessage]; exact physical-slot use-site view; raw receiver transport remains neutral in the containing function to avoid derived-layout back-propagation without recovered inheritance
1	apply	00516A40	HelpPanelTy::TechProc	00516B38	0	__thiscall;/int;pointer:/CursorClassTy;pointer:/SubmarineTitans/Recovered/STMessage	__thiscall	pointer:/CursorClassTy	1	pointer:/SubmarineTitans/Recovered/STMessage	/int			high	exact CALLIND at physical slot 0x0; observed_pushes=1; ECX=ECX; physical_vtable_paths=[/SubmarineTitans/Recovered/VTables/CursorClassTyVTable]; receiver_paths=[/CursorClassTy, /SubmarineTitans/Recovered/STMessage]; exact physical-slot use-site view; raw receiver transport remains neutral in the containing function to avoid derived-layout back-propagation without recovered inheritance
1	apply	00517A50	HelpPanelTy::RCProc	00517B91	0	__thiscall;/int;pointer:/CursorClassTy;pointer:/SubmarineTitans/Recovered/STMessage	__thiscall	pointer:/CursorClassTy	1	pointer:/SubmarineTitans/Recovered/STMessage	/int			high	exact CALLIND at physical slot 0x0; observed_pushes=1; ECX=ECX; physical_vtable_paths=[/SubmarineTitans/Recovered/VTables/CursorClassTyVTable]; receiver_paths=[/CursorClassTy, /SubmarineTitans/Recovered/STMessage]; exact physical-slot use-site view; raw receiver transport remains neutral in the containing function to avoid derived-layout back-propagation without recovered inheritance
