convention_apply	receiver_type_apply	address	expected_name	expected_name_source	expected_signature	expected_signature_source	expected_calling_convention	proposed_calling_convention	receiver_type_name	receiver_type_path	observed_size	vtable_slots	calls	ecx_pointer_setup	ecx_scalar_setup	ecx_live_prior	caller_cleanup_calls	expected_stack_bytes	confidence	reason
0	0	004BE110	FUN_004be110	DEFAULT	undefined FUN_004be110(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004BE110	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004BE110	574		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	004BE140	FUN_004be140	DEFAULT	undefined FUN_004be140(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004BE140	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004BE140	585		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	004BE160	FUN_004be160	DEFAULT	undefined FUN_004be160(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004BE160	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004BE160	1503		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	004BE1A0	FUN_004be1a0	DEFAULT	undefined FUN_004be1a0(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004BE1A0	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004BE1A0	466	0xF8	0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=2; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	004BE220	FUN_004be220	DEFAULT	undefined FUN_004be220(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004BE220	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004BE220	1476		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	004BE450	FUN_004be450	DEFAULT	undefined FUN_004be450(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004BE450	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004BE450	581		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	004C2810	FUN_004c2810	DEFAULT	undefined FUN_004c2810(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004C2810	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004C2810	617		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	004D6C00	FUN_004d6c00	DEFAULT	undefined FUN_004d6c00(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004D6C00	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004D6C00	880		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	004D6C20	FUN_004d6c20	DEFAULT	undefined FUN_004d6c20(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004D6C20	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004D6C20	744		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=2; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	004D6C50	FUN_004d6c50	DEFAULT	undefined FUN_004d6c50(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004D6C50	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004D6C50	684		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
