function_address	function	parameter_ordinal	parameter_name	parameter_type	storage	frame_offset	qualifies	selected	score	direct_reads	scalar_operations	signed_comparisons	unsigned_bounds	pointer_dereferences	slot_reused	evidence
005A40F0	FSGSTy::SetLadder	4	param_4	pointer:/undefined4	Stack[0x10]:4	0x14	0	0	100	1	0	0	0	0	0	005A41CB incoming load: MOV ESI,dword ptr [EBP + 0x14]
005AD390	ChooseMapTy::NoneChooseMap	1	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
005AD390	ChooseMapTy::NoneChooseMap	1	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	0	0	0	0	0	0	0	-
005B3430	MainMenuTy::NoneMainMenu	1	param_1	pointer:/void	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
005B3430	MainMenuTy::NoneMainMenu	1	param_1	pointer:/void	Stack[0x4]:4	0x8	0	0	0	0	0	0	0	0	0	-
005B67A0	MMMObjTy::OutRGlProc	8	param_8	pointer:/undefined4	Stack[0x20]:4	0x20	0	0	100	1	0	0	0	0	0	005B67DF incoming load: MOV EDI,dword ptr [EBP + 0x20]
005B67A0	MMMObjTy::OutRGlProc	8	param_8	pointer:/undefined4	Stack[0x20]:4	0x24	0	0	100	1	0	0	0	0	0	005B67A6 incoming load: MOV EAX,dword ptr [EBP + 0x24]
005B68B0	MMMObjTy::OutBSlProc	8	param_8	pointer:/undefined4	Stack[0x20]:4	0x20	0	0	101	1	1	0	0	0	0	005B68EF incoming load: MOV EDI,dword ptr [EBP + 0x20] | 005B6917 scalar operation: ADD EDI,-0x4c
005B68B0	MMMObjTy::OutBSlProc	8	param_8	pointer:/undefined4	Stack[0x20]:4	0x24	0	0	200	2	0	0	0	0	0	005B68B6 incoming load: MOV EAX,dword ptr [EBP + 0x24] | 005B68EC incoming load: MOV EAX,dword ptr [EBP + 0x24]
005B69F0	ChatGlassTy::OutChGlProc	8	param_8	pointer:/undefined4	Stack[0x20]:4	0x20	0	0	101	1	1	0	0	0	0	005B6A2F incoming load: MOV EBX,dword ptr [EBP + 0x20] | 005B6A68 scalar operation: LEA EAX,[EDX + EBX*0x1 + -0x16]
005B69F0	ChatGlassTy::OutChGlProc	8	param_8	pointer:/undefined4	Stack[0x20]:4	0x24	0	0	100	1	0	0	0	0	0	005B69F6 incoming load: MOV EAX,dword ptr [EBP + 0x24]
005B7EF0	MMsgTy::SetMessage	3	param_3	pointer:/undefined4	Stack[0xc]:4	0xc	0	0	100	1	0	0	0	0	0	005B8152 incoming load: MOV EAX,dword ptr [EBP + 0xc]
