apply	function_address	function_name	original_name	merge_group	merge_group_count	expected_current_type	expected_symbol_source	proposed_type	anchor_kind	anchor_address	anchor_time	anchor_operand	direct_target_address	resolved_target_address	anchor_source	supporting_anchors	evidence_count	confidence	reason
0	0042F2B0	STAllPlayersC::UnRegisterObject	local_14	0	1	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	DEFAULT	pointer:/SubmarineTitans/Recovered/DArrayTy	call_argument	0042FFC5	1816	0	006AE140	006AE140	ANALYSIS	0042FFC5:t1816:call_argument:0:006AE140:006AE140	1	review	single receiver-alias lifetime; exact_type_votes=1; score=4; sources=[call_argument]; one-way call conversion alone is review-only; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00435BF1	157	1	006ACC70	006ACC70	ANALYSIS	00435BF1:t157:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00435C7F	3643	1	006ACC70	006ACC70	ANALYSIS	00435C7F:t3643:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00435CF4	3073	1	006ACC70	006ACC70	ANALYSIS	00435CF4:t3073:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00435D76	837	1	006ACC70	006ACC70	ANALYSIS	00435D76:t837:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00435DFF	3475	1	006ACC70	006ACC70	ANALYSIS	00435DFF:t3475:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00435E7C	3274	1	006ACC70	006ACC70	ANALYSIS	00435E7C:t3274:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00435F02	446	1	006ACC70	006ACC70	ANALYSIS	00435F02:t446:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00435F8C	1800	1	006ACC70	006ACC70	ANALYSIS	00435F8C:t1800:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00436012	2370	1	006ACC70	006ACC70	ANALYSIS	00436012:t2370:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
