target	target_kind	status	detail
/SubmarineTitans/Recovered/VTables/STBoatCVTable+152	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+156	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+164	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+168	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+172	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+180	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+184	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+188	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+192	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+196	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+200	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+204	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+208	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+212	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+216	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+220	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+236	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+240	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+244	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+248	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+252	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+256	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+260	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+264	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+268	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+272	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+276	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+280	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+284	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+288	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+4	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+8	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+12	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+16	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+20	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+24	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+32	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+36	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+40	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+44	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+48	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+52	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+56	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+60	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+64	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+68	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+72	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+76	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+80	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+84	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+88	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+92	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+96	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+100	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+104	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+108	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+112	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+116	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+120	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+124	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+128	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+132	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+136	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+140	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+144	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+148	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+152	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+156	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+160	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+164	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+168	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STColl3CVTable+172	vtable_slot	disabled	apply=0
