apply	shape_id	type_path	length	target_count	field_count	confidence	reason
0	AnonShape_00419C70_4C4EF73F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00419C70_4C4EF73F	52	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_0041ACF0_B957F275	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041ACF0_B957F275	20	1	2	review	single/weak fixed-offset profile retained for review
0	AnonShape_0041AD80_C5A07513	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041AD80_C5A07513	12	1	2	review	single/weak fixed-offset profile retained for review
0	AnonShape_0041ADB0_6F854FCE	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041ADB0_6F854FCE	12	1	2	review	single/weak fixed-offset profile retained for review
0	AnonShape_0041AE10_A8F9262F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041AE10_A8F9262F	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_0041AE40_94C8F354	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041AE40_94C8F354	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_0041DC40_3CBFFF27	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041DC40_3CBFFF27	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_0041F330_8812DC99	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041F330_8812DC99	472	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_0041F390_BF8EDA78	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041F390_BF8EDA78	552	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00423120_79B5B62D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00423120_79B5B62D	472	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00423300_67884733	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00423300_67884733	32	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00423320_ACC7D39D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00423320_ACC7D39D	32	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00423360_E7F08AAB	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00423360_E7F08AAB	36	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00423380_AA1491AE	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00423380_AA1491AE	36	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004233A0_9E2D1712	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004233A0_9E2D1712	36	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004233C0_54B666A5	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004233C0_54B666A5	44	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004237D0_9C3CC954	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004237D0_9C3CC954	48	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00423C70_0C525D84	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00423C70_0C525D84	48	1	2	review	single/weak fixed-offset profile retained for review
0	AnonShape_00424530_C2A16650	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00424530_C2A16650	48	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00424620_7E898329	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00424620_7E898329	48	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00424790_471B1C6D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00424790_471B1C6D	60	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00428E50_9DEE1150	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00428E50_9DEE1150	1116	1	1	review	single/weak fixed-offset profile retained for review; concrete target type preserved
0	AnonShape_0042A290_843ACA98	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0042A290_843ACA98	1116	1	1	review	single/weak fixed-offset profile retained for review
