function_address	label_address	proposed_name	status	detail
0043F130	0043F1A5	cf_join_0043F1A5	disabled	apply=0
0043F200	0043F2AD	cf_join_0043F2AD	disabled	apply=0
0043F200	0043F2B2	cf_join_0043F2B2	disabled	apply=0
0043F380	0043F4C8	cf_join_0043F4C8	disabled	apply=0
0043F380	0043F4CD	cf_join_0043F4CD	disabled	apply=0
0043F580	0043F6E3	cf_join_0043F6E3	disabled	apply=0
0043F580	0043F6E8	cf_join_0043F6E8	disabled	apply=0
0043F7B0	0043F9BD	cf_join_0043F9BD	disabled	apply=0
0043F7B0	0043F9FA	cf_join_0043F9FA	disabled	apply=0
0043F7B0	0043FAD9	cf_join_0043FAD9	disabled	apply=0
0043F7B0	0043FB16	cf_join_0043FB16	disabled	apply=0
0043FC50	0043FD36	cf_join_0043FD36	disabled	apply=0
00440AA0	00440BAB	cf_join_00440BAB	disabled	apply=0
00440AA0	00440C19	cf_join_00440C19	disabled	apply=0
00441CE0	00441E92	cf_join_00441E92	disabled	apply=0
00442E50	00442F1F	cf_join_00442F1F	disabled	apply=0
00442E50	0044326C	cf_join_0044326C	disabled	apply=0
00442E50	0044343C	cf_join_0044343C	disabled	apply=0
00442E50	00443473	cf_join_00443473	disabled	apply=0
00442E50	0044349D	cf_join_0044349D	disabled	apply=0
00442E50	004434A2	cf_join_004434A2	disabled	apply=0
00442E50	0044355F	cf_join_0044355F	disabled	apply=0
00442E50	00443598	cf_join_00443598	disabled	apply=0
00442E50	004435C8	cf_join_004435C8	disabled	apply=0
00442E50	004435CD	cf_common_join_004435CD	unchanged	label is already primary
00442E50	004435F1	cf_join_004435F1	disabled	apply=0
00442E50	00443676	cf_join_00443676	disabled	apply=0
00442E50	004436F7	cf_join_004436F7	disabled	apply=0
00445A40	00445DB2	cf_join_00445DB2	disabled	apply=0
00445A40	00445DCA	cf_join_00445DCA	disabled	apply=0
00445A40	00445E36	cf_join_00445E36	disabled	apply=0
00446F80	0044707D	cf_join_0044707D	disabled	apply=0
00446F80	00447106	cf_join_00447106	disabled	apply=0
00446F80	00447196	cf_join_00447196	disabled	apply=0
00446F80	004471AD	cf_join_004471AD	disabled	apply=0
00446F80	004471BD	cf_join_004471BD	disabled	apply=0
00446F80	00447348	cf_join_00447348	disabled	apply=0
00446F80	0044738A	cf_break_loop_0044738A	disabled	apply=0
00448120	00448970	cf_join_00448970	disabled	apply=0
00448120	00448AAF	cf_join_00448AAF	disabled	apply=0
00448120	00448ADE	cf_join_00448ADE	disabled	apply=0
00448120	00448B30	cf_join_00448B30	disabled	apply=0
00448120	00448BC0	cf_join_00448BC0	disabled	apply=0
0044AB90	0044AC57	cf_join_0044AC57	disabled	apply=0
0044AB90	0044ADA0	cf_join_0044ADA0	disabled	apply=0
0044AB90	0044AE21	cf_join_0044AE21	disabled	apply=0
0044AB90	0044AE50	cf_join_0044AE50	disabled	apply=0
0044B5F0	0044BD3D	cf_common_exit_0044BD3D	unchanged	label is already primary
0044B5F0	0044BD49	cf_join_0044BD49	disabled	apply=0
0044B5F0	0044BD53	cf_common_exit_0044BD53	unchanged	label is already primary
0044C130	0044C40D	cf_branch_target_0044C40D	disabled	apply=0
0044C130	0044C44D	cf_join_0044C44D	disabled	apply=0
0044C130	0044C477	cf_common_exit_0044C477	unchanged	label is already primary
0044C720	0044C94C	cf_join_0044C94C	disabled	apply=0
0044C720	0044C950	cf_join_0044C950	disabled	apply=0
0044C720	0044CA10	cf_join_0044CA10	disabled	apply=0
0044C720	0044CADA	cf_join_0044CADA	disabled	apply=0
0044C720	0044CB54	cf_join_0044CB54	disabled	apply=0
0044D320	0044D6CC	cf_join_0044D6CC	disabled	apply=0
0044D320	0044D6D7	cf_join_0044D6D7	disabled	apply=0
0044D320	0044D6F8	cf_join_0044D6F8	disabled	apply=0
0044D320	0044D710	cf_join_0044D710	disabled	apply=0
0044D320	0044D9C4	cf_join_0044D9C4	disabled	apply=0
0044D320	0044D9F5	cf_branch_target_0044D9F5	disabled	apply=0
0044D320	0044DA6B	cf_join_0044DA6B	disabled	apply=0
0044D320	0044DC25	cf_join_0044DC25	disabled	apply=0
0044D320	0044DCBE	cf_join_0044DCBE	disabled	apply=0
0044D320	0044DCE3	cf_join_0044DCE3	disabled	apply=0
0044D320	0044DD19	cf_join_0044DD19	disabled	apply=0
0044D320	0044DDC7	cf_join_0044DDC7	disabled	apply=0
