function_address	function_name	call_address	slot_offset	stack_parameter_count	last_ecx_assignment	receiver_register	exact_unadjusted_receiver	physical_vtable_paths	receiver_paths	physical_owners	caller_owner	machine_return	classification
0042E210	STAllPlayersC::RegisterObject	0042E640	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E68D	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E6DA	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E727	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E76D	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E81F	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E83F	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E88C	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E8D9	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E926	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E973	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E9C0	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042EA0D	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042EA5A	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042EAA0	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042EBA5	8	5	DWORD PTR [0X00802A38]	ECX	1	/SubmarineTitans/Recovered/VTables/STPlaySystemCVTable	/STPlaySystemC	/STPlaySystemC	STAllPlayersC	/void	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042EC32	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042F2B0	STAllPlayersC::UnRegisterObject	0042F354	44	0	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
