apply	family_id	canonical_type	member_type	length	named_fields	evidence
0	EXACT_915718BF5BB9	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0195	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_0195	20	0	anonymous geometry match only; no named semantic anchor
0	EXACT_915718BF5BB9	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0195	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_0199	20	0	anonymous geometry match only; no named semantic anchor
0	EXACT_PRODUCER_93E8F7D4095B	/SubmarineTitans/Recovered/LibraryContexts/DDXEntry_008075A8_01B0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_006B1B10_121F236C_01B0_7CFC8645	212	1	exact full producer snapshot matches the generated semantic view which records this sole anonymous source in its provenance; a stored layout hash is verified when present
0	EXACT_94F4A2273638	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052EFB0_0018_CB007E0D	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052EFB0_0018_CB007E0D	16	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
0	EXACT_94F4A2273638	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052EFB0_0018_CB007E0D	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00538BA0_0018_DBC85CBF	16	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
0	EXACT_94F4A2273638	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052EFB0_0018_CB007E0D	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00538DB0_0018_D0DE3542	16	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
0	EXACT_94F4A2273638	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052EFB0_0018_CB007E0D	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053D920_0018_8DE8F5C2	16	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
0	EXACT_94F4A2273638	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052EFB0_0018_CB007E0D	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053DAF0_0018_BAFC63C8	16	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
0	EXACT_9671F59DA19E	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052BDA0_007E_1B3446E2	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052BDA0_007E_1B3446E2	24	0	anonymous geometry match only; no named semantic anchor
0	EXACT_9671F59DA19E	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052BDA0_007E_1B3446E2	/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_MReportTy_005BD4B0	24	0	anonymous geometry match only; no named semantic anchor
