apply	function_address	expected_function	expected_signature	expected_signature_source	expected_calling_convention	expected_return_type	expected_return_source	expected_parameter_count	expected_parameter_name	expected_parameter_type	expected_parameter_source	proposed_calling_convention	proposed_return_type	proposed_parameter_name	proposed_parameter_type	shared_zero_stub	confidence	reason	evidence
0	0056FA60	STAppC::GetMessage	int __thiscall GetMessage(STAppC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=004058EE|0056FA60; family_names=STAppC::GetMessage; ret4=17; direct_offsets={10:4,14:6,18:7,1c:8}
0	00575CB0	STAlgaC::GetMessage	int __thiscall GetMessage(STAlgaC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=004016E5|00575CB0; family_names=STAlgaC::GetMessage; ret4=5; direct_offsets={10:10,14:9,18:8,1c:5}
0	005776D0	GameSystemC::GetMessage	int __thiscall GetMessage(GameSystemC * this, STMessage * message)	ANALYSIS	__thiscall	/int	ANALYSIS	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=0040482C|005776D0; family_names=GameSystemC::GetMessage; ret4=10; direct_offsets={10:1,14:2,18:1,1c:1}
0	00578630	STCrabC::GetMessage	int __thiscall GetMessage(STCrabC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00405871|00578630; family_names=STCrabC::GetMessage; ret4=8; direct_offsets={10:2,14:2,18:2,1c:0}
0	0057BF60	STFishC::GetMessage	int __thiscall GetMessage(STFishC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00402838|0057BF60; family_names=STFishC::GetMessage; ret4=11; direct_offsets={10:2,14:3,18:5,1c:0}
0	0057E0A0	STDcResourcC::GetMessage	int __thiscall GetMessage(STDcResourcC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=0040502E|0057E0A0; family_names=STDcResourcC::GetMessage; ret4=8; direct_offsets={10:2,14:2,18:1,1c:0}
0	00581BF0	STJellyManC::GetMessage	int __thiscall GetMessage(STJellyManC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00402F4F|00581BF0; family_names=STJellyManC::GetMessage; ret4=8; direct_offsets={10:1,14:5,18:1,1c:0}
0	00583270	STJellyGunC::GetMessage	int __thiscall GetMessage(STJellyGunC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=0040201D|00583270; family_names=STJellyGunC::GetMessage; ret4=10; direct_offsets={10:2,14:2,18:3,1c:0}
0	005859A0	STLBombC::GetMessage	int __thiscall GetMessage(STLBombC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=004048EA|005859A0; family_names=STLBombC::GetMessage; ret4=9; direct_offsets={10:2,14:3,18:1,1c:0}
0	00588BC0	STMBombC::GetMessage	int __thiscall GetMessage(STMBombC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00401037|00588BC0; family_names=STMBombC::GetMessage; ret4=10; direct_offsets={10:2,14:3,18:1,1c:2}
