apply	address	function	current_signature	current_calling_convention	signature_source	calls	direct_calls	thunk_calls	ecx_pointer_setup	ecx_scalar_setup	ecx_live_prior	ecx_unknown	caller_cleanup_calls	caller_cleanup_bytes	callee_ret_pop_bytes	expected_stack_bytes	incoming_ecx_used	exact_stack_argument_calls	classification	suggested_calling_convention	confidence	reason	error
0	00401DC0	thunk_FUN_00617b10	uint __thiscall thunk_FUN_00617b10(void * this, undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			24	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401DD9	thunk_FUN_00495420	int __thiscall thunk_FUN_00495420(void * this, short * param_1, short * param_2, short * param_3)	__thiscall	ANALYSIS	3	3	0	3	0	0	0	0			12	0	3	thiscall_supported	__thiscall	high	3 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00401E29	thunk_FUN_00486e20	undefined __thiscall thunk_FUN_00486e20(void * this, undefined4 * param_1)	__thiscall	ANALYSIS	0	0	0	0	0	0	0	0			4	1	0	unreferenced		review	no direct call reference to function or thunk entry	-
0	00401E2E	thunk_FUN_0062e520	uint __thiscall thunk_FUN_0062e520(void * this, int param_1, int param_2)	__thiscall	ANALYSIS	1	1	0	0	0	0	1	0			8	0	1	ambiguous		review	calls=1, pointer_ecx=0, live_ecx=0, no_ecx=1, expected_stack=8, incoming_ecx_used=false, exact_stack_calls=1	-
0	00401E3D	sub_004167A0	void __thiscall sub_004167A0(void * this)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			0	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401E47	thunk_FUN_00617a20	undefined4 __thiscall thunk_FUN_00617a20(void * this, int param_1, undefined4 param_2, undefined4 param_3)	__thiscall	ANALYSIS	2	2	0	0	0	0	2	0			12	0	2	ambiguous		review	calls=2, pointer_ecx=0, live_ecx=0, no_ecx=2, expected_stack=12, incoming_ecx_used=false, exact_stack_calls=2	-
0	00401EA6	thunk_FUN_004df370	undefined4 __thiscall thunk_FUN_004df370(void * this, int param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401EAB	thunk_FUN_004e8b10	int __thiscall thunk_FUN_004e8b10(void * this, uint param_1)	__thiscall	ANALYSIS	5	5	0	5	0	0	0	0			4	0	0	thiscall_supported	__thiscall	high	5 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00401EB0	thunk_FUN_00678d90	int __thiscall thunk_FUN_00678d90(void * this, int param_1)	__thiscall	ANALYSIS	2	2	0	0	0	0	2	0			4	0	0	ambiguous		review	calls=2, pointer_ecx=0, live_ecx=0, no_ecx=2, expected_stack=4, incoming_ecx_used=false, exact_stack_calls=0	-
0	00401EBA	thunk_FUN_004abce0	undefined4 __thiscall thunk_FUN_004abce0(void * this, byte param_1, int param_2, int param_3, char param_4)	__thiscall	ANALYSIS	74	74	0	69	2	3	0	0			16	0	71	ambiguous		review	calls=74, pointer_ecx=69, live_ecx=3, no_ecx=0, expected_stack=16, incoming_ecx_used=false, exact_stack_calls=71	-
0	00401EE7	thunk_FUN_0055c790	undefined __thiscall thunk_FUN_0055c790(void * this, undefined4 param_1)	__thiscall	ANALYSIS	0	0	0	0	0	0	0	0			4	1	0	unreferenced		review	no direct call reference to function or thunk entry	-
0	00401F05	thunk_FUN_006940b0	undefined __thiscall thunk_FUN_006940b0(void * this, int param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401F32	thunk_FUN_005503c0	undefined __thiscall thunk_FUN_005503c0(void * this, int param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401F50	thunk_FUN_004e9bb0	undefined4 __thiscall thunk_FUN_004e9bb0(void * this, RecoveredRecord_004E9BB0_CD9D470B * param_1)	__thiscall	ANALYSIS	1	1	0	0	0	0	1	0			4	0	1	ambiguous		review	calls=1, pointer_ecx=0, live_ecx=0, no_ecx=1, expected_stack=4, incoming_ecx_used=false, exact_stack_calls=1	-
0	00401F55	thunk_FUN_006193a0	undefined4 __thiscall thunk_FUN_006193a0(void * this, undefined4 * param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401F6E	thunk_FUN_0060c020	int __thiscall thunk_FUN_0060c020(void * this, uint * param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401F96	thunk_FUN_005f0e20	undefined4 __thiscall thunk_FUN_005f0e20(void * this, undefined4 param_1, int * param_2)	__thiscall	ANALYSIS	0	0	0	0	0	0	0	0			8	1	0	unreferenced		review	no direct call reference to function or thunk entry	-
0	00402009	thunk_FUN_00660a40	undefined4 __thiscall thunk_FUN_00660a40(void * this, short param_1, short param_2, short param_3)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			12	0	0	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00402086	thunk_FUN_0067a1b0	undefined __thiscall thunk_FUN_0067a1b0(void * this, int param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	004020C7	thunk_FUN_005fa360	int __thiscall thunk_FUN_005fa360(void * this, undefined4 * param_1, int param_2, int param_3, int param_4, int * param_5, int * param_6, int * param_7)	__thiscall	ANALYSIS	5	5	0	5	0	0	0	0			28	0	5	thiscall_supported	__thiscall	high	5 callsites explicitly load ECX; no caller stack cleanup observed	-
0	004020EA	thunk_FUN_0065d940	void __thiscall thunk_FUN_0065d940(void * this, DArrayTy * param_1, int param_2)	__thiscall	ANALYSIS	4	4	0	4	0	0	0	0			8	0	4	thiscall_supported	__thiscall	high	4 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00402117	thunk_FUN_00585890	undefined __thiscall thunk_FUN_00585890(void * this, int param_1, int param_2, uint param_3)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			12	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00402135	thunk_FUN_0060d810	undefined __thiscall thunk_FUN_0060d810(void * this, undefined4 param_1, undefined4 param_2)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			8	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	0040214E	thunk_FUN_004950b0	int __thiscall thunk_FUN_004950b0(void * this, short * param_1, short * param_2, short * param_3)	__thiscall	ANALYSIS	3	3	0	3	0	0	0	0			12	0	3	thiscall_supported	__thiscall	high	3 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00402180	thunk_FUN_00633770	undefined __thiscall thunk_FUN_00633770(void * this, int param_1, int param_2)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			8	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	004021E9	thunk_FUN_00417740	int __thiscall thunk_FUN_00417740(void * this, short param_1, short param_2)	__thiscall	ANALYSIS	7	7	0	7	0	0	0	0			8	0	7	thiscall_supported	__thiscall	high	7 callsites explicitly load ECX; no caller stack cleanup observed	-
0	004021F3	thunk_FUN_0058c560	void __thiscall thunk_FUN_0058c560(void * this, int param_1, int param_2)	__thiscall	ANALYSIS	3	3	0	3	0	0	0	0			8	0	3	thiscall_supported	__thiscall	high	3 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00402216	thunk_FUN_0055c830	undefined __thiscall thunk_FUN_0055c830(void * this, Global_sub_0055C830_param_1Enum param_1, byte * param_2, undefined4 param_3, byte * param_4, char * param_5)	__thiscall	ANALYSIS	0	0	0	0	0	0	0	0			20	1	0	unreferenced		review	no direct call reference to function or thunk entry	-
0	0040221B	thunk_FUN_00604870	uint __thiscall thunk_FUN_00604870(void * this, undefined4 * param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	0	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
