function_address	original_name	merge_group	anchor_address	anchor_kind	status	detail
006AD0B0	uVar3	1	006AD0D1	signed_scalar_role	disabled	apply=0
006AD4D0	pcVar9	2	006AD63A	typed_copy	disabled	apply=0
006BFBF0	uVar5	0	006BFC5C	signed_scalar_role	disabled	apply=0
006C8990	uVar6	2	006C8B59	call_argument	disabled	apply=0
006CFE10	uVar3	0	006CFE3A	signed_scalar_role	disabled	apply=0
006D3300	uVar5	0	006D350A	signed_scalar_role	disabled	apply=0
006D54C0	uVar4	0	006D5515	signed_scalar_role	disabled	apply=0
006D54C0	uVar4	1	006D55BD	signed_scalar_role	disabled	apply=0
006D5ED0	uVar3	1	006D5F86	signed_scalar_role	disabled	apply=0
006D7D9A	local_36	0	006D7F83	signed_scalar_role	disabled	apply=0
006D8A60	uVar13	1	006D976E	signed_scalar_role	disabled	apply=0
006D8A60	uVar13	11	006D8FBA	signed_scalar_role	disabled	apply=0
006E1460	uVar6	0	006E15AE	signed_scalar_role	disabled	apply=0
006E56B0	uVar2	0	006E570F	call_argument	disabled	apply=0
006F6330	uVar8	0	006F638D	signed_scalar_role	disabled	apply=0
006F66C0	uVar8	0	006F671D	signed_scalar_role	disabled	apply=0
006F6AE0	uVar7	0	006F6B3D	signed_scalar_role	disabled	apply=0
006F6EA0	uVar7	0	006F6EFD	signed_scalar_role	disabled	apply=0
006F81D0	uVar7	0	006F822B	signed_scalar_role	disabled	apply=0
006FBD40	uVar5	3	006FBDF0	signed_scalar_role	disabled	apply=0
006FC3E0	uVar7	3	006FC487	signed_scalar_role	disabled	apply=0
006FCB30	uVar5	3	006FCBEC	signed_scalar_role	disabled	apply=0
006FD430	uVar6	3	006FD4EC	signed_scalar_role	disabled	apply=0
006FDEA0	uVar4	3	006FDF50	signed_scalar_role	disabled	apply=0
006FE570	uVar9	3	006FE620	signed_scalar_role	disabled	apply=0
006FED50	uVar6	3	006FEE0C	signed_scalar_role	disabled	apply=0
006FF690	uVar8	3	006FF74C	signed_scalar_role	disabled	apply=0
00703D40	uVar4	3	00703DF0	signed_scalar_role	disabled	apply=0
00704460	uVar5	3	0070451C	signed_scalar_role	disabled	apply=0
0070CB20	uVar3	2	0070CCCA	signed_scalar_role	disabled	apply=0
00717970	uVar8	1	00717F77	signed_scalar_role	disabled	apply=0
00727230	bVar16	0	00727747	boolean_scalar_role	disabled	apply=0
00727230	bVar16	1	0072775C	boolean_scalar_role	disabled	apply=0
00727230	bVar16	2	00727772	boolean_scalar_role	disabled	apply=0
00727230	bVar16	3	00727788	boolean_scalar_role	disabled	apply=0
00727230	bVar16	4	0072779E	boolean_scalar_role	disabled	apply=0
00727230	bVar16	5	007277B4	boolean_scalar_role	disabled	apply=0
00727230	bVar16	6	007277CA	boolean_scalar_role	disabled	apply=0
00727230	bVar16	7	007277E0	boolean_scalar_role	disabled	apply=0
00727230	bVar16	8	007277F6	boolean_scalar_role	disabled	apply=0
00727230	bVar16	9	0072780C	boolean_scalar_role	disabled	apply=0
00727230	bVar16	10	00727822	boolean_scalar_role	disabled	apply=0
00727230	bVar16	11	00727838	boolean_scalar_role	disabled	apply=0
00727230	bVar16	12	0072784E	boolean_scalar_role	disabled	apply=0
00727230	bVar16	13	00727864	boolean_scalar_role	disabled	apply=0
00727230	bVar16	14	0072787A	boolean_scalar_role	disabled	apply=0
00727230	bVar16	16	007278B0	boolean_scalar_role	disabled	apply=0
00727230	bVar16	18	007273B0	boolean_scalar_role	disabled	apply=0
00727230	bVar16	19	007273C5	boolean_scalar_role	disabled	apply=0
00727230	bVar16	20	007273DB	boolean_scalar_role	disabled	apply=0
00727230	bVar16	21	007273F1	boolean_scalar_role	disabled	apply=0
00727230	bVar16	22	00727407	boolean_scalar_role	disabled	apply=0
00727230	bVar16	23	0072741D	boolean_scalar_role	disabled	apply=0
00727230	bVar16	24	00727433	boolean_scalar_role	disabled	apply=0
00727230	bVar16	25	00727449	boolean_scalar_role	disabled	apply=0
00727230	bVar16	26	0072745F	boolean_scalar_role	disabled	apply=0
00727230	bVar16	27	00727475	boolean_scalar_role	disabled	apply=0
00727230	bVar16	28	0072748B	boolean_scalar_role	disabled	apply=0
00727230	bVar16	29	007274A1	boolean_scalar_role	disabled	apply=0
00727230	bVar16	30	007274B7	boolean_scalar_role	disabled	apply=0
00727230	bVar16	31	007274CD	boolean_scalar_role	disabled	apply=0
00727230	bVar16	32	007274E3	boolean_scalar_role	disabled	apply=0
00727230	bVar16	33	0072753F	boolean_scalar_role	disabled	apply=0
00727230	bVar16	34	00727554	boolean_scalar_role	disabled	apply=0
00727230	bVar16	35	0072756A	boolean_scalar_role	disabled	apply=0
00727230	bVar16	36	00727580	boolean_scalar_role	disabled	apply=0
00727230	bVar16	37	00727596	boolean_scalar_role	disabled	apply=0
00727230	bVar16	38	007275AC	boolean_scalar_role	disabled	apply=0
00727230	bVar16	39	007275C2	boolean_scalar_role	disabled	apply=0
00727230	bVar16	41	007275F0	boolean_scalar_role	disabled	apply=0
00727230	bVar17	0	007278BA	boolean_scalar_role	disabled	apply=0
00727230	bVar17	1	007275FB	boolean_scalar_role	disabled	apply=0
0074AD60	uVar4	1	0074AD6E	signed_scalar_role	disabled	apply=0
0074AD60	uVar4	2	0074ADDB	signed_scalar_role	disabled	apply=0
0074B06D	bVar9	0	0074B0CC	boolean_scalar_role	disabled	apply=0
0074DA81	bVar11	0	0074DAA5	boolean_scalar_role	disabled	apply=0
0074DA81	bVar11	2	0074DC2A	boolean_scalar_role	disabled	apply=0
0074DA81	uVar6	2	0074DB1C	signed_scalar_role	disabled	apply=0
007519D0	uVar6	2	00751A89	signed_scalar_role	disabled	apply=0
00754FD0	uVar3	0	00755055	call_argument	disabled	apply=0
00755560	uVar12	3	00755801	call_return	disabled	apply=0
00761960	local_8	0	00761992	call_argument	disabled	apply=0
007619B0	local_8	0	007619DE	call_argument	disabled	apply=0
004210E0	puVar17	4	00421357	typed_copy	conflict	anchor type is stale:  != pointer:/uint
004B33D0	local_304	1	004B354E	typed_copy	conflict	anchor type is stale:  != /SubmarineTitans/Recovered/Enums/Global_sub_004B1120_param_2Enum
004E7390	puVar11	1	004E73D2	typed_copy	conflict	anchor type is stale:  != pointer:/uint
004E7390	puVar11	2	004E741C	typed_copy	conflict	anchor type is stale:  != pointer:/uint
004E76E0	puVar10	0	004E7719	typed_copy	conflict	anchor type is stale:  != pointer:pointer:/uint
004E76E0	puVar12	0	004E78CE	typed_copy	conflict	anchor type is stale:  != pointer:pointer:/uint
004E7980	puVar11	0	004E79B9	typed_copy	conflict	anchor type is stale:  != pointer:/int
004E7980	puVar14	0	004E7C78	typed_copy	conflict	anchor type is stale:  != pointer:/int
0055F410	local_6c	1	0055F43B	typed_copy	conflict	anchor type is stale:  != pointer:/int
00562F50	local_6c	1	00562F7B	typed_copy	conflict	anchor type is stale:  != pointer:/int
0066ACC0	local_10	0	0066ADE1	typed_copy	conflict	anchor type is stale:  != pointer:/char
0066ACC0	local_18	0	0066C99B	typed_copy	conflict	anchor type is stale:  != pointer:/char
0066ACC0	local_1c	0	0066EC9D	typed_copy	conflict	anchor type is stale:  != pointer:/byte
0067C7E0	pcVar12	0	0067CA93	typed_copy	conflict	anchor type is stale:  != /winnt.h/LPSTR
0067E320	pcVar8	0	0067E398	typed_copy	conflict	anchor type is stale:  != /winnt.h/LPSTR
006803B0	pcVar8	0	006804AE	typed_copy	conflict	anchor type is stale:  != /winnt.h/LPSTR
00683C70	pcVar7	6	006840A6	typed_copy	conflict	anchor type is stale:  != /winnt.h/LPCSTR
006B0520	iVar2	0	006B061C	typed_copy	conflict	anchor type is stale:  != /WinDef.h/UINT
006B0520	iVar2	1	006B0575	typed_copy	conflict	anchor type is stale:  != /WinDef.h/UINT
006C3D80	iVar4	1	006C3DF3	typed_copy	conflict	anchor type is stale:  != /winnt.h/LONG
006C3D80	iVar7	1	006C3DF3	typed_copy	conflict	anchor type is stale:  != /winnt.h/LONG
