function_address	function	parameter_ordinal	parameter_name	current_type	direct_call_sites	byte_reads	byte_writes	bulk_transports	wide_dereferences	escapes	complete	apply	status	evidence
004458D0	STAllPlayersC::GetBoatWeaponInfo	2	param_3	pointer:/undefined4	0	0	0	0	1	0	0	0	incomplete_cfg_at_0044591F	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=1, escapes=0, failure=incomplete_cfg_at_0044591F; byte_read_sites=-; byte_write_sites=-; wide_sites=00445936 MOV dword ptr [EAX],EDX operand=DWORD PTR [EAX] width=4
004458D0	STAllPlayersC::GetBoatWeaponInfo	3	param_4	pointer:/undefined4	0	0	0	0	0	0	0	0	incomplete_cfg_at_0044591F	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=0, failure=incomplete_cfg_at_0044591F; byte_read_sites=-; byte_write_sites=-
00449CE0	STAllPlayersC::RegisterArtefact	2	param_2	pointer:/void	0	0	0	0	0	0	0	0	incomplete_cfg_at_00449DE6	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=0, failure=incomplete_cfg_at_00449DE6; byte_read_sites=-; byte_write_sites=-
00449FD0	STAllPlayersC::RegisterMine	2	param_2	pointer:/void	0	0	0	0	0	0	0	0	incomplete_cfg_at_0044A0D6	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=0, failure=incomplete_cfg_at_0044A0D6; byte_read_sites=-; byte_write_sites=-
0044A2C0	STAllPlayersC::RegisterDeposit	2	param_2	pointer:/void	0	0	0	0	0	0	0	0	incomplete_cfg_at_0044A3C6	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=0, failure=incomplete_cfg_at_0044A3C6; byte_read_sites=-; byte_write_sites=-
0044A5B0	STAllPlayersC::RegisterContainer	2	param_2	pointer:/void	0	0	0	0	0	0	0	0	incomplete_cfg_at_0044A6B6	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=0, failure=incomplete_cfg_at_0044A6B6; byte_read_sites=-; byte_write_sites=-
0044A8A0	STAllPlayersC::RegisterBlot	2	param_2	pointer:/void	0	0	0	0	0	0	0	0	incomplete_cfg_at_0044A9A6	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=0, failure=incomplete_cfg_at_0044A9A6; byte_read_sites=-; byte_write_sites=-
0044E980	STBoatC::GetVisualInfo	3	param_4	pointer:/undefined4	0	0	0	0	3	0	0	0	incomplete_cfg_at_0044EC36	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=3, escapes=0, failure=incomplete_cfg_at_0044EC36; byte_read_sites=-; byte_write_sites=-; wide_sites=0044E993 MOV dword ptr [EAX],ECX operand=DWORD PTR [EAX] width=4 | 0044E9D4 MOV dword ptr [EAX],0x0 operand=DWORD PTR [EAX] width=4 | 0044EC24 MOV dword ptr [EAX],0x0 operand=DWORD PTR [EAX] width=4
0044E980	STBoatC::GetVisualInfo	5	param_6	pointer:/undefined1	0	0	1	0	0	0	0	0	incomplete_cfg_at_0044EC36	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=1, rep_movs_transports=0, wide_dereferences=0, escapes=0, failure=incomplete_cfg_at_0044EC36; byte_read_sites=-; byte_write_sites=0044E99F MOV byte ptr [ECX],0x1d
0047D080	STBoatC::Annih	1	param_1	pointer:/undefined4	0	0	0	0	0	0	0	0	incomplete_cfg_at_0047D824	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=0, failure=incomplete_cfg_at_0047D824; byte_read_sites=-; byte_write_sites=-
00486B60	FUN_00486b60	1	param_1	pointer:/undefined1	0	0	18	0	18	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=18, rep_movs_transports=0, wide_dereferences=18, escapes=0; byte_read_sites=-; byte_write_sites=00486B6E MOV byte ptr [ESI],0x1 | 00486B7D MOV byte ptr [ESI + 0x1],AL | 00486B82 MOV byte ptr [ESI + 0x1],BL | 00486B87 MOV byte ptr [ESI + 0x2],0x1 | 00486B94 MOV byte ptr [ESI + 0x1d],BL | 00486B99 MOV byte ptr [ESI + 0x1d],0x1 | 00486BA4 MOV byte ptr [ESI + 0x1b],AL | 00486BB1 MOV byte ptr [ESI + 0x1c],AL | ... +10; wide_sites=00486BBA MOV dword ptr [ESI + 0x3],ECX operand=DWORD PTR [ESI + 0X3] width=4 | 00486BDB MOV dword ptr [ESI + 0x8],EAX operand=DWORD PTR [ESI + 0X8] width=4 | 00486BE3 MOV dword ptr [EDX],EAX operand=DWORD PTR [EDX] width=4 | 00486BE8 MOV dword ptr [EDX + 0x4],EAX operand=DWORD PTR [EDX + 0X4] width=4 | 00486BEE MOV dword ptr [EDX + 0x8],EAX operand=DWORD PTR [EDX + 0X8] width=4 | 00486BF5 MOV word ptr [EDX + 0xc],AX operand=WORD PTR [EDX + 0XC] width=2 | 00486C50 MOV dword ptr [ESI + 0x1e],EAX operand=DWORD PTR [ESI + 0X1E] width=4 | 00486CB1 MOV dword ptr [ESI + 0x1e],EBX operand=DWORD PTR [ESI + 0X1E] width=4 | ... +10
00486E20	FUN_00486e20	1	param_1	pointer:/undefined4	0	1	339	0	2	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=1, byte_writes=339, rep_movs_transports=0, wide_dereferences=2, escapes=0; byte_read_sites=00486E99 MOV AL,byte ptr [ESI + 0x4]; byte_write_sites=00486E53 MOV byte ptr [ESI + 0x4],AL | 00486E56 MOV byte ptr [ESI + 0x6],0x1 | 00486E63 MOV byte ptr [ESI + 0x7],0x0 | 00486E69 MOV byte ptr [ESI + 0x7],0x1 | 00486E7D MOV byte ptr [ESI + 0x8],0x1 | 00486E83 MOV byte ptr [ESI + 0x8],0x0 | 00486ED3 MOV byte ptr [ESI + 0x5],0x3 | 00486EF8 MOV byte ptr [ESI + 0x5],0x1 | ... +331; wide_sites=00486E35 STOSD.REP ES:EDI string_width=4 | 00486E3D MOV dword ptr [ESI],EAX operand=DWORD PTR [ESI] width=4
00488D10	FUN_00488d10	1	param_1	pointer:/undefined4	0	0	31	0	6	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=31, rep_movs_transports=0, wide_dereferences=6, escapes=0; byte_read_sites=-; byte_write_sites=00488D2B MOV byte ptr [ESI + 0x12],DL | 00488D36 MOV byte ptr [EAX + 0x4],0x2b | 00488D3A MOV byte ptr [EAX + 0x5],0x2c | 00488D3E MOV byte ptr [EAX + 0x6],0x5 | 00488D42 MOV byte ptr [EAX + 0x7],0x6 | 00488D46 MOV byte ptr [EAX + 0x8],0x4d | 00488D4A MOV byte ptr [EAX + 0x9],0x2d | 00488D5A MOV byte ptr [EAX + 0x10],0x3 | ... +23; wide_sites=00488D1C MOV dword ptr [ESI],EDX operand=DWORD PTR [ESI] width=4 | 00488D1E MOV dword ptr [ESI + 0x4],EDX operand=DWORD PTR [ESI + 0X4] width=4 | 00488D21 MOV dword ptr [ESI + 0x8],EDX operand=DWORD PTR [ESI + 0X8] width=4 | 00488D24 MOV dword ptr [ESI + 0xc],EDX operand=DWORD PTR [ESI + 0XC] width=4 | 00488D27 MOV word ptr [ESI + 0x10],DX operand=WORD PTR [ESI + 0X10] width=2 | 00488D34 MOV dword ptr [EAX],EDX operand=DWORD PTR [EAX] width=4
00488EE0	FUN_00488ee0	1	param_1	pointer:/undefined1	0	0	3	0	2	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=3, rep_movs_transports=0, wide_dereferences=2, escapes=0; byte_read_sites=-; byte_write_sites=00488EEA MOV byte ptr [ESI],0x1 | 00488EED MOV byte ptr [ESI + 0x1],0x1 | 00488F0C MOV byte ptr [ESI + 0x6],AL; wide_sites=00488EF7 MOV dword ptr [ESI + 0x2],EAX operand=DWORD PTR [ESI + 0X2] width=4 | 00488F12 MOV dword ptr [ESI + 0x7],EDX operand=DWORD PTR [ESI + 0X7] width=4
0048DC90	FUN_0048dc90	1	param_1	pointer:/undefined4	0	0	0	1	1	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=1, wide_dereferences=1, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=0048DCA7 MOVSW ES:EDI,ESI string_width=2
0048DCC0	FUN_0048dcc0	1	param_1	pointer:/undefined4	0	0	0	1	0	0	1	0	no_byte_read	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=1, wide_dereferences=0, escapes=0; byte_read_sites=-; byte_write_sites=-
004919C0	STBoatC::GetCellForLoading	7	param_7	pointer:/undefined2	0	0	0	0	0	0	0	0	incomplete_cfg_at_00491E53	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=0, failure=incomplete_cfg_at_00491E53; byte_read_sites=-; byte_write_sites=-
004919C0	STBoatC::GetCellForLoading	8	param_8	pointer:/undefined2	0	0	0	0	0	0	0	0	incomplete_cfg_at_00491E53	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=0, failure=incomplete_cfg_at_00491E53; byte_read_sites=-; byte_write_sites=-
004919C0	STBoatC::GetCellForLoading	9	param_9	pointer:/undefined2	0	0	0	0	0	0	0	0	incomplete_cfg_at_00491E53	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=0, failure=incomplete_cfg_at_00491E53; byte_read_sites=-; byte_write_sites=-
004919C0	STBoatC::GetCellForLoading	12	param_12	pointer:/undefined2	0	0	0	0	0	0	0	0	incomplete_cfg_at_00491E53	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=0, failure=incomplete_cfg_at_00491E53; byte_read_sites=-; byte_write_sites=-
