create_apply	signature_apply	name_apply	representative	record_index	record_address	type_id	type_id_hex	enum_value_name	raw_factory_address	target_address	entry_bytes	current_name	current_name_source	current_signature	current_signature_source	current_return_type	proposed_name	proposed_return_type	owner	allocation_size	constructor_owners	confidence	reason
0	1	0	1	52	007CA8C0	772	0x0304	ST_OBJECT_M_REPORT	0040166D	005C2620	E9AE0F1C00E9D9042200E924D62700E9	CreateMReport	ANALYSIS	MReportTy * __cdecl CreateMReport(void)	ANALYSIS	/MReportTy *32	CreateMReport	MReportTy *	MReportTy	1115		high	registry[52] at 007CA8C0 stores type 0x0304 and executable pointer 0040166D; allocation size 1115 uniquely matches /MReportTy
0	1	0	1	53	007CA8C8	293	0x0125	ST_OBJECT_POP_UP	00402EE1	0052D020	E93AA11200E925420900E940F91000E9	CreatePopUp	ANALYSIS	PopUpTy * __cdecl CreatePopUp(void)	ANALYSIS	/PopUpTy *32	CreatePopUp	PopUpTy *	PopUpTy	161		high	registry[53] at 007CA8C8 stores type 0x0125 and executable pointer 00402EE1; allocation size 161 uniquely matches /PopUpTy
0	1	0	1	54	007CA8D0	295	0x0127	ST_OBJECT_RESEARCH_PANEL	00401596	0053BFF0	E955AA1300E940D72900E9FBFB1300E9	CreateResearchPanel	ANALYSIS	ResearchPanelTy * __cdecl CreateResearchPanel(void)	ANALYSIS	/ResearchPanelTy *32	CreateResearchPanel	ResearchPanelTy *	ResearchPanelTy	646		high	registry[54] at 007CA8D0 stores type 0x0127 and executable pointer 00401596; allocation size 646 uniquely matches /ResearchPanelTy
0	1	0	1	55	007CA8D8	296	0x0128	ST_OBJECT_TYPE_0128	00403571	004EE8E0	E96AB30E00E9B5541200E930580D00E9	FUN_004ee8e0	DEFAULT	void * __cdecl FUN_004ee8e0(void)	ANALYSIS	/void *32	CreateObjectType_0128	void *		662		review	registry[55] at 007CA8D8 stores type 0x0128 and executable pointer 00403571; allocation size 662 has no unique current class-layout match
0	1	0	1	56	007CA8E0	297	0x0129	ST_OBJECT_ST_SHARK	00404A98	0058E410	E973991800E94ED80D00E959C91600E9	CreateSTShark	ANALYSIS	STSharkC * __cdecl CreateSTShark(void)	ANALYSIS	/STSharkC *32	CreateSTShark	STSharkC *	STSharkC	655	STSharkC	high	registry[56] at 007CA8E0 stores type 0x0129 and executable pointer 00404A98; allocation size 655 uniquely matches /STSharkC; calls named constructor STSharkC::STSharkC
0	1	0	1	57	007CA8E8	298	0x012A	ST_OBJECT_TYPE_012A	004054A2	004F0460	E9B9AF0E00E994950E00E9BFC22400E9	FUN_004f0460	DEFAULT	void * __cdecl FUN_004f0460(void)	ANALYSIS	/void *32	CreateObjectType_012A	void *		662		review	registry[57] at 007CA8E8 stores type 0x012A and executable pointer 004054A2; allocation size 662 has no unique current class-layout match
0	1	0	1	58	007CA8F0	337	0x0151	ST_OBJECT_BLD_LAB_PANEL	0040184D	004EFA40	E9EEE10E00E9F9592700E944071100E9	CreateBldLabPanel	ANALYSIS	BldLabPanelTy * __cdecl CreateBldLabPanel(void)	ANALYSIS	/BldLabPanelTy *32	CreateBldLabPanel	BldLabPanelTy *	BldLabPanelTy	638		high	registry[58] at 007CA8F0 stores type 0x0151 and executable pointer 0040184D; allocation size 638 uniquely matches /BldLabPanelTy
0	1	0	1	59	007CA8F8	299	0x012B	ST_OBJECT_TYPE_012B	00405457	00521840	E9E4C31100E9DF6D0D00E92AD22900E9	FUN_00521840	DEFAULT	void * __cdecl FUN_00521840(void)	ANALYSIS	/void *32	CreateObjectType_012B	void *		421		review	registry[59] at 007CA8F8 stores type 0x012B and executable pointer 00405457; allocation size 421 has no unique current class-layout match
0	1	0	1	60	007CA900	339	0x0153	ST_OBJECT_UPG_PANEL	0040403E	005527D0	E98DE71400E928591800E943630D00E9	CreateUpgPanel	ANALYSIS	UpgPanelTy * __cdecl CreateUpgPanel(void)	ANALYSIS	/UpgPanelTy *32	CreateUpgPanel	UpgPanelTy *	UpgPanelTy	1015		high	registry[60] at 007CA900 stores type 0x0153 and executable pointer 0040403E; allocation size 1015 uniquely matches /UpgPanelTy
0	1	0	1	61	007CA908	340	0x0154	ST_OBJECT_TYPE_0154	004018B1	00539AA0	E9EA811300E9D5E72400E980E31E00E9	FUN_00539aa0	DEFAULT	void * __cdecl FUN_00539aa0(void)	ANALYSIS	/void *32	CreateObjectType_0154	void *		481		review	registry[61] at 007CA908 stores type 0x0154 and executable pointer 004018B1; allocation size 481 has no unique current class-layout match
0	1	0	1	62	007CA910	342	0x0156	ST_OBJECT_HELP_PANEL	004014D3	00510C50	E978F71000E943BE1200E9FE6E2300E9	CreateHelpPanel	ANALYSIS	HelpPanelTy * __cdecl CreateHelpPanel(void)	ANALYSIS	/HelpPanelTy *32	CreateHelpPanel	HelpPanelTy *	HelpPanelTy	596		high	registry[62] at 007CA910 stores type 0x0156 and executable pointer 004014D3; allocation size 596 uniquely matches /HelpPanelTy
0	1	0	1	63	007CA918	341	0x0155	ST_OBJECT_FRM_PANEL	0040579A	0050FC70	E9D1A41000E97CD90100E907782100E9	CreateFrmPanel	ANALYSIS	FrmPanelTy * __cdecl CreateFrmPanel(void)	ANALYSIS	/FrmPanelTy *32	CreateFrmPanel	FrmPanelTy *	FrmPanelTy	483		high	registry[63] at 007CA918 stores type 0x0155 and executable pointer 0040579A; allocation size 483 uniquely matches /FrmPanelTy
0	1	0	1	64	007CA920	302	0x012E	ST_OBJECT_SOUND_MANAGER	00403C97	00566590	E9F4281600E9AFB60100E91A0C2900E9	CreateSoundManager	ANALYSIS	SoundManagerTy * __cdecl CreateSoundManager(void)	ANALYSIS	/SoundManagerTy *32	CreateSoundManager	SoundManagerTy *	SoundManagerTy	65		high	registry[64] at 007CA920 stores type 0x012E and executable pointer 00403C97; allocation size 65 uniquely matches /SoundManagerTy
0	1	0	1	65	007CA928	304	0x0130	ST_OBJECT_TYPE_0130	004038CD	005861A0	E9CE281800E909292400E9A46D1E00E9	FUN_005861a0	DEFAULT	void * __cdecl FUN_005861a0(void)	ANALYSIS	/void *32	CreateObjectType_0130	void *		650	STLBombC	review	registry[65] at 007CA928 stores type 0x0130 and executable pointer 004038CD; allocation size 650 has no unique current class-layout match
0	1	0	1	66	007CA930	305	0x0131	ST_OBJECT_TYPE_0131	00403D2D	00589940	E90E5C1800E9D90E2700E9B4DF1300E9	FUN_00589940	DEFAULT	void * __cdecl FUN_00589940(void)	ANALYSIS	/void *32	CreateObjectType_0131	void *		678	STMBombC	review	registry[66] at 007CA930 stores type 0x0131 and executable pointer 00403D2D; allocation size 678 has no unique current class-layout match
0	1	0	1	67	007CA938	308	0x0134	ST_OBJECT_TYPE_0134	00401172	00609920	E9A9872000E934710D00E97F722400E9	FUN_00609920	DEFAULT	void * __cdecl FUN_00609920(void)	ANALYSIS	/void *32	CreateObjectType_0134	void *		600		review	registry[67] at 007CA938 stores type 0x0134 and executable pointer 00401172; allocation size 600 has no unique current class-layout match
0	1	0	1	68	007CA940	309	0x0135	ST_OBJECT_ST_VOLCANO	004034E5	00646C60	E976372400E9D1090200E93C6C1D00E9	CreateSTVolcano	ANALYSIS	STVolcanoC * __cdecl CreateSTVolcano(void)	ANALYSIS	/STVolcanoC *32	CreateSTVolcano	STVolcanoC *	STVolcanoC	181	STVolcanoC	high	registry[68] at 007CA940 stores type 0x0135 and executable pointer 004034E5; allocation size 181 uniquely matches /STVolcanoC; calls named constructor STVolcanoC::STVolcanoC
0	1	0	1	69	007CA948	310	0x0136	ST_OBJECT_ST_JUMP_MINE	004023E2	00619140	E9596D2100E9645E0D00E9EF6E2100E9	CreateSTJumpMine	ANALYSIS	STJumpMineC * __cdecl CreateSTJumpMine(void)	ANALYSIS	/STJumpMineC *32	CreateSTJumpMine	STJumpMineC *	STJumpMineC	337	STJumpMineC	high	registry[69] at 007CA948 stores type 0x0136 and executable pointer 004023E2; allocation size 337 uniquely matches /STJumpMineC; calls named constructor STJumpMineC::STJumpMineC
0	1	0	1	70	007CA950	311	0x0137	ST_OBJECT_TYPE_0137	00405858	00583E00	E9A3E51700E98E611B00E959EF0F00E9	FUN_00583e00	DEFAULT	void * __cdecl FUN_00583e00(void)	ANALYSIS	/void *32	CreateObjectType_0137	void *		660	STJellyGunC	review	registry[70] at 007CA950 stores type 0x0137 and executable pointer 00405858; allocation size 660 has no unique current class-layout match
