item_kind	item_id	locator	status	detail
type	AnonShape_00423360_E7F08AAB	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00423360_E7F08AAB	disabled	apply=0
type	AnonShape_00423380_AA1491AE	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00423380_AA1491AE	disabled	apply=0
type	AnonShape_004233A0_9E2D1712	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004233A0_9E2D1712	disabled	apply=0
type	AnonShape_004233C0_54B666A5	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004233C0_54B666A5	disabled	apply=0
type	AnonShape_004237D0_9C3CC954	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004237D0_9C3CC954	disabled	apply=0
type	AnonShape_00423C70_0C525D84	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00423C70_0C525D84	disabled	apply=0
type	AnonShape_00424530_C2A16650	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00424530_C2A16650	disabled	apply=0
type	AnonShape_00424620_7E898329	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00424620_7E898329	disabled	apply=0
type	AnonShape_00424790_471B1C6D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00424790_471B1C6D	disabled	apply=0
type	AnonShape_00428E50_9DEE1150	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00428E50_9DEE1150	disabled	apply=0
type	AnonShape_0042A290_843ACA98	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0042A290_843ACA98	disabled	apply=0
type	AnonShape_00430620_0186FD6C	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00430620_0186FD6C	disabled	apply=0
type	AnonShape_00430A90_30AD5D09	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00430A90_30AD5D09	disabled	apply=0
type	AnonShape_00430A90_FED4A4B9	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00430A90_FED4A4B9	disabled	apply=0
type	AnonShape_00438E30_8253E3EA	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00438E30_8253E3EA	disabled	apply=0
type	AnonShape_00440AA0_D2D43F84	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00440AA0_D2D43F84	disabled	apply=0
type	AnonShape_00443F30_5DF553AC	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00443F30_5DF553AC	disabled	apply=0
type	AnonShape_004455C0_E4BAA5BB	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004455C0_E4BAA5BB	disabled	apply=0
type	AnonShape_00446F80_A0CAAEC9	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00446F80_A0CAAEC9	disabled	apply=0
type	AnonShape_0044C720_9C70C8C1	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0044C720_9C70C8C1	disabled	apply=0
type	AnonShape_0045FF10_37BC7E9C	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0045FF10_37BC7E9C	disabled	apply=0
type	AnonShape_0045FF30_A86BE482	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0045FF30_A86BE482	disabled	apply=0
type	AnonShape_00465C60_5A5114E0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00465C60_5A5114E0	disabled	apply=0
type	AnonShape_0046B100_3651424F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0046B100_3651424F	disabled	apply=0
type	AnonShape_0046D450_4CF8701D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0046D450_4CF8701D	disabled	apply=0
type	AnonShape_0046F5C0_F7F058B4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0046F5C0_F7F058B4	disabled	apply=0
type	AnonShape_004732F0_0D68122B	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004732F0_0D68122B	disabled	apply=0
type	AnonShape_004749C0_E4FF35AF	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004749C0_E4FF35AF	disabled	apply=0
type	AnonShape_00475530_812F4BB9	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00475530_812F4BB9	disabled	apply=0
type	AnonShape_004758E0_F1A71984	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004758E0_F1A71984	disabled	apply=0
type	AnonShape_00479600_EE2D84B9	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00479600_EE2D84B9	disabled	apply=0
type	AnonShape_0047D080_DE6FC298	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0047D080_DE6FC298	disabled	apply=0
type	AnonShape_0047DA50_46820927	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0047DA50_46820927	disabled	apply=0
type	AnonShape_0047DF00_463B9A86	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0047DF00_463B9A86	disabled	apply=0
type	AnonShape_00480600_D0E345D5	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00480600_D0E345D5	disabled	apply=0
type	AnonShape_00483300_532AD888	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00483300_532AD888	disabled	apply=0
type	AnonShape_004845E0_967D2F03	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004845E0_967D2F03	disabled	apply=0
type	AnonShape_00486E20_EA4891D8	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00486E20_EA4891D8	disabled	apply=0
