apply	name	value_hex	value_decimal	function_address	function	confidence	reason	strings
1	MESS_INTERSYSTEMC_B900	0xB900	47360	00542F40	InterSystemC::GetMessage	high	existing_enum_catalog_value	handlers: 00542F40 InterSystemC::GetMessage
1	MESS_INTERSYSTEMC_B901	0xB901	47361	00542F40	InterSystemC::GetMessage	high	existing_enum_catalog_value	handlers: 00542F40 InterSystemC::GetMessage
1	MESS_INTERSYSTEMC_B902	0xB902	47362	00542F40	InterSystemC::GetMessage	high	existing_enum_catalog_value	handlers: 00542F40 InterSystemC::GetMessage
1	MESS_INTERSYSTEMC_B903	0xB903	47363	00542F40	InterSystemC::GetMessage	high	existing_enum_catalog_value	handlers: 00542F40 InterSystemC::GetMessage
1	MESS_INTERSYSTEMC_B904	0xB904	47364	00542F40	InterSystemC::GetMessage	high	existing_enum_catalog_value	handlers: 00542F40 InterSystemC::GetMessage
1	MESS_INTERSYSTEMC_B908	0xB908	47368	00542F40	InterSystemC::GetMessage	high	existing_enum_catalog_value	handlers: 00542F40 InterSystemC::GetMessage
1	MESS_LISTCLASSTY_005C	0x5C	92	0071F3A0	ListClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 0071F3A0 ListClassTy::GetMessage
1	MESS_MAINMENUTY_6902	0x6902	26882	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage | 005B4BB0 MainMenuTy::GetMessage
1	MESS_MAINMENUTY_6944	0x6944	26948	005B4BB0	MainMenuTy::GetMessage	high	existing_enum_catalog_value	handlers: 005B4BB0 MainMenuTy::GetMessage
1	MESS_MAINMENUTY_6983	0x6983	27011	005B4BB0	MainMenuTy::GetMessage	high	existing_enum_catalog_value	handlers: 005B4BB0 MainMenuTy::GetMessage | 005C8A40 SettMapTy::GetMessage
1	MESS_MMSGTY_68FF	0x68FF	26879	00593040	CampaignTy::GetMessage	high	existing_enum_catalog_value	handlers: 00593040 CampaignTy::GetMessage | 005A4350 FSGSTy::GetMessage | 005B4BB0 MainMenuTy::GetMessage | 005B9330 MMsgTy::GetMessage | 005C1A90 MReportTy::GetMessage | 005C8A40 SettMapTy::GetMessage | 005D9470 SIDTy::GetMessage
1	MESS_MMSGTY_6986	0x6986	27014	005B9330	MMsgTy::GetMessage	high	existing_enum_catalog_value	handlers: 005B9330 MMsgTy::GetMessage
1	MESS_MREPORTTY_6214	0x6214	25108	005C1A90	MReportTy::GetMessage	high	existing_enum_catalog_value	handlers: 005C1A90 MReportTy::GetMessage | 005E4570 MTaskTy::GetMessage
1	MESS_MREPORTTY_6215	0x6215	25109	005C1A90	MReportTy::GetMessage	high	existing_enum_catalog_value	handlers: 005C1A90 MReportTy::GetMessage | 005E4570 MTaskTy::GetMessage
1	MESS_MREPORTTY_70FF	0x70FF	28927	005C1A90	MReportTy::GetMessage	high	existing_enum_catalog_value	handlers: 005C1A90 MReportTy::GetMessage
1	MESS_MREPORTTY_B208	0xB208	45576	00521490	InfocPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 00521490 InfocPanelTy::GetMessage | 0053AFB0 PlayPanelTy::GetMessage | 005C1A90 MReportTy::GetMessage
1	MESS_MTASKTY_6212	0x6212	25106	005E4570	MTaskTy::GetMessage	high	existing_enum_catalog_value	handlers: 005E4570 MTaskTy::GetMessage
1	MESS_MTASKTY_6213	0x6213	25107	005C1A90	MReportTy::GetMessage	high	existing_enum_catalog_value	handlers: 005C1A90 MReportTy::GetMessage | 005E4570 MTaskTy::GetMessage
1	MESS_MTASKTY_6216	0x6216	25110	005E4570	MTaskTy::GetMessage	high	existing_enum_catalog_value	handlers: 005E4570 MTaskTy::GetMessage
1	MESS_MTASKTY_6217	0x6217	25111	005E4570	MTaskTy::GetMessage	high	existing_enum_catalog_value	handlers: 005E4570 MTaskTy::GetMessage
1	MESS_MTASKTY_6339	0x6339	25401	005E4570	MTaskTy::GetMessage	high	existing_enum_catalog_value	handlers: 005E4570 MTaskTy::GetMessage
1	MESS_OPTICCLASSC_0100	0x100	256	004A8920	OpticClassC::GetMessage	high	existing_enum_catalog_value	handlers: 004A8920 OpticClassC::GetMessage
1	MESS_OPTICCLASSC_0101	0x101	257	004A8920	OpticClassC::GetMessage	high	existing_enum_catalog_value	handlers: 004A8920 OpticClassC::GetMessage
1	MESS_OPTICCLASSC_0104	0x104	260	004A8920	OpticClassC::GetMessage	high	existing_enum_catalog_value	handlers: 004A8920 OpticClassC::GetMessage
1	MESS_OPTPANELTY_8162	0x8162	33122	00533D10	OptPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 00533D10 OptPanelTy::GetMessage
1	MESS_OPTPANELTY_8164	0x8164	33124	00533D10	OptPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 00533D10 OptPanelTy::GetMessage | 005D9470 SIDTy::GetMessage
1	MESS_OPTPANELTY_8165	0x8165	33125	00533D10	OptPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 00533D10 OptPanelTy::GetMessage | 005D9470 SIDTy::GetMessage
1	MESS_OPTPANELTY_A105	0xA105	41221	00533D10	OptPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 00533D10 OptPanelTy::GetMessage
1	MESS_OPTPANELTY_A106	0xA106	41222	00533D10	OptPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 00533D10 OptPanelTy::GetMessage
1	MESS_OPTPANELTY_C001	0xC001	49153	00533D10	OptPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 00533D10 OptPanelTy::GetMessage
1	MESS_OPTPANELTY_C002	0xC002	49154	00533D10	OptPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 00533D10 OptPanelTy::GetMessage
1	MESS_OPTPANELTY_C003	0xC003	49155	00533D10	OptPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 00533D10 OptPanelTy::GetMessage
1	MESS_OPTPANELTY_C004	0xC004	49156	00533D10	OptPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 00533D10 OptPanelTy::GetMessage
1	MESS_OPTPANELTY_C006	0xC006	49158	00533D10	OptPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 00533D10 OptPanelTy::GetMessage | 005400F0 ProdPanelTy::GetMessage | 005522A0 TradePanelTy::GetMessage
1	MESS_OPTPANELTY_C0AE	0xC0AE	49326	004F0210	BldLabPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 004F0210 BldLabPanelTy::GetMessage | 00533D10 OptPanelTy::GetMessage
1	MESS_PLAYPANELTY_6201	0x6201	25089	0053AFB0	PlayPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 0053AFB0 PlayPanelTy::GetMessage
1	MESS_PLAYPANELTY_6202	0x6202	25090	0053AFB0	PlayPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 0053AFB0 PlayPanelTy::GetMessage
1	MESS_PLAYPANELTY_B209	0xB209	45577	00521490	InfocPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 00521490 InfocPanelTy::GetMessage | 0053AFB0 PlayPanelTy::GetMessage | 005C1A90 MReportTy::GetMessage
1	MESS_PLAYPANELTY_B526	0xB526	46374	0053AFB0	PlayPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 0053AFB0 PlayPanelTy::GetMessage
1	MESS_PLAYPANELTY_B52F	0xB52F	46383	0053AFB0	PlayPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 0053AFB0 PlayPanelTy::GetMessage
1	MESS_PLAYPANELTY_B536	0xB536	46390	0053AFB0	PlayPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 0053AFB0 PlayPanelTy::GetMessage
1	MESS_PRIVIDERTY_631F	0x631F	25375	005BC5E0	PrividerTy::GetMessage	high	existing_enum_catalog_value	handlers: 005BC5E0 PrividerTy::GetMessage
1	MESS_PRIVIDERTY_6502	0x6502	25858	005BC5E0	PrividerTy::GetMessage	high	existing_enum_catalog_value	handlers: 005BC5E0 PrividerTy::GetMessage | 005D1400 SettMapMTy::GetMessage | 005D5560 SettMapSTy::GetMessage
1	MESS_PRIVIDERTY_693F	0x693F	26943	00593040	CampaignTy::GetMessage	high	existing_enum_catalog_value	handlers: 00593040 CampaignTy::GetMessage | 005B0BA0 ChooseMapTy::GetMessage | 005BC5E0 PrividerTy::GetMessage | 005C1A90 MReportTy::GetMessage | 005DCE90 StartSystemTy::GetMessage | 005EA680 WaitTy::GetMessage
1	MESS_PRIVIDERTY_6952	0x6952	26962	005BC5E0	PrividerTy::GetMessage	high	existing_enum_catalog_value	handlers: 005BC5E0 PrividerTy::GetMessage
1	MESS_RADIOCLASSTY_005B	0x5B	91	0071E0E0	RadioClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 0071E0E0 RadioClassTy::GetMessage
1	MESS_RESEARCHPANELTY_B207	0xB207	45575	0053CA80	ResearchPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 0053CA80 ResearchPanelTy::GetMessage
