name_apply	convention_apply	parameter_apply	function_address	expected_name	expected_name_source	expected_signature	expected_signature_source	owner	proposed_name	table_address	store_address	returns_this	incoming_edx_uses	incoming_stack_parameter_uses	confidence	reason
1	1	1	005F3440	FUN_005f3440	DEFAULT	undefined4 * __fastcall FUN_005f3440(undefined4 * param_1)	ANALYSIS	STBHEShellC	STBHEShellC::STBHEShellC	0079C584	005F3453	true	0	0	high	final_vptr=0079C584; returns_this=true; calls_before=1; field_writes_after=0; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high
0	0	0	005F6600	STColl3C::STColl3C	ANALYSIS	STColl3C * __thiscall STColl3C(STColl3C * this)	ANALYSIS	STColl3C	STColl3C::STColl3C	0079C5AC	005F6618	true	0	0	high	final_vptr=0079C5AC; returns_this=true; calls_before=2; field_writes_after=2; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	005FD710	FUN_005fd710	DEFAULT	undefined4 * __fastcall FUN_005fd710(undefined4 * param_1)	ANALYSIS	STGameObjC	STGameObjC::STGameObjC	0079C8A0	005FD726	true	0	0	medium	final_vptr=0079C8A0; returns_this=true; calls_before=1; field_writes_after=0; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=medium
0	0	0	006023F0	STDestC::STDestC	ANALYSIS	STDestC * __thiscall STDestC(STDestC * this)	ANALYSIS	STDestC	STDestC::STDestC	0079C9B0	00602419	true	0	0	high	final_vptr=0079C9B0; returns_this=true; calls_before=2; field_writes_after=0; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	00604080	STExplosion::STExplosion	ANALYSIS	STExplosion * __thiscall STExplosion(STExplosion * this)	ANALYSIS	STExplosion	STExplosion::STExplosion	0079CB14	00604098	true	0	0	high	final_vptr=0079CB14; returns_this=true; calls_before=1; field_writes_after=8; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	00609950	FUN_00609950	DEFAULT	undefined4 * __fastcall FUN_00609950(STGroupBoatC * param_1)	ANALYSIS	STGameObjC	STGameObjC::STGameObjC	0079CC28	0060995B	true	0	0	medium	final_vptr=0079CC28; returns_this=true; calls_before=1; field_writes_after=1; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=medium
0	0	0	0060EC70	FUN_0060ec70	DEFAULT	undefined4 * __fastcall FUN_0060ec70(undefined4 * param_1)	ANALYSIS	STGameObjC	STGameObjC::STGameObjC	0079CD94	0060EC7B	true	0	0	medium	final_vptr=0079CD94; returns_this=true; calls_before=1; field_writes_after=0; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=medium
1	1	1	00617840	FUN_00617840	DEFAULT	undefined4 * __fastcall FUN_00617840(undefined4 * param_1)	ANALYSIS	JumpManagC	JumpManagC::JumpManagC	0079CEBC	00617853	true	0	0	high	final_vptr=0079CEBC; returns_this=true; calls_before=1; field_writes_after=0; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high
1	1	1	00619170	FUN_00619170	DEFAULT	undefined4 * __fastcall FUN_00619170(STGroupBoatC * param_1)	ANALYSIS	STJumpMineC	STJumpMineC::STJumpMineC	0079CED0	00619178	true	0	0	high	final_vptr=0079CED0; returns_this=true; calls_before=1; field_writes_after=1; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high
1	1	1	0061D620	FUN_0061d620	DEFAULT	undefined4 * __fastcall FUN_0061d620(undefined4 * param_1)	ANALYSIS	STLightC	STLightC::STLightC	0079CED4	0061D628	true	0	0	high	final_vptr=0079CED4; returns_this=true; calls_before=1; field_writes_after=0; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high
0	0	0	00622600	STMineSetC::STMineSetC	ANALYSIS	STMineSetC * __thiscall STMineSetC(STMineSetC * this)	ANALYSIS	STMineSetC	STMineSetC::STMineSetC	0079CEFC	00622629	true	0	0	high	final_vptr=0079CEFC; returns_this=true; calls_before=2; field_writes_after=1; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
1	1	1	0062CF00	FUN_0062cf00	DEFAULT	undefined4 * __fastcall FUN_0062cf00(undefined4 * param_1)	ANALYSIS	STManRub3C	STManRub3C::STManRub3C	0079D084	0062CF0B	true	0	0	high	final_vptr=0079D084; returns_this=true; calls_before=1; field_writes_after=0; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high
0	0	0	0062ED10	STRubbishC::STRubbishC	ANALYSIS	STRubbishC * __thiscall STRubbishC(STRubbishC * this)	ANALYSIS	STRubbishC	STRubbishC::STRubbishC	0079D098	0062ED37	true	0	0	high	final_vptr=0079D098; returns_this=true; calls_before=1; field_writes_after=8; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
1	1	1	00630870	FUN_00630870	DEFAULT	undefined4 * __fastcall FUN_00630870(STGroupBoatC * param_1)	ANALYSIS	STManRuinC	STManRuinC::STManRuinC	0079D19C	0063087B	true	0	0	high	final_vptr=0079D19C; returns_this=true; calls_before=1; field_writes_after=1; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high
0	0	0	00639480	FUN_00639480	DEFAULT	undefined4 * __fastcall FUN_00639480(AnonShape_00639480_B53D0B0F * param_1)	ANALYSIS	STGameObjC	STGameObjC::STGameObjC	0079D1D8	006394A9	true	0	0	medium	final_vptr=0079D1D8; returns_this=true; calls_before=2; field_writes_after=3; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=medium
0	0	0	0063BFA0	FUN_0063bfa0	DEFAULT	undefined4 * __fastcall FUN_0063bfa0(AnonShape_0063BFA0_2C9DA96E * param_1)	ANALYSIS	STGameObjC	STGameObjC::STGameObjC	0079D33C	0063BFD9	true	0	0	medium	final_vptr=0079D33C; returns_this=true; calls_before=2; field_writes_after=5; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=medium
1	1	1	00646C90	FUN_00646c90	DEFAULT	undefined4 * __fastcall FUN_00646c90(STGroupBoatC * param_1)	ANALYSIS	STVolcanoC	STVolcanoC::STVolcanoC	0079D610	00646C9B	true	0	0	high	final_vptr=0079D610; returns_this=true; calls_before=1; field_writes_after=3; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high
1	1	1	00647AD0	FUN_00647ad0	DEFAULT	undefined4 * __fastcall FUN_00647ad0(undefined4 * param_1)	ANALYSIS	AiBossClassTy	AiBossClassTy::AiBossClassTy	0079D658	00647AE5	true	0	0	high	final_vptr=0079D658; returns_this=true; calls_before=2; field_writes_after=1; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high
1	1	1	0065D230	FUN_0065d230	DEFAULT	undefined4 * __fastcall FUN_0065d230(STGroupBoatC * param_1)	ANALYSIS	AiFltClassTy	AiFltClassTy::AiFltClassTy	0079D6BC	0065D23B	true	0	0	high	final_vptr=0079D6BC; returns_this=true; calls_before=1; field_writes_after=4; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high
1	1	1	006788B0	FUN_006788b0	DEFAULT	undefined4 * __fastcall FUN_006788b0(undefined4 * param_1)	ANALYSIS	AiPlrClassTy	AiPlrClassTy::AiPlrClassTy	0079D714	006788C5	true	0	0	high	final_vptr=0079D714; returns_this=true; calls_before=2; field_writes_after=3; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high
1	1	1	0068DC00	FUN_0068dc00	DEFAULT	undefined4 * __fastcall FUN_0068dc00(STGroupBoatC * param_1)	ANALYSIS	AiTactClassTy	AiTactClassTy::AiTactClassTy	0079D76C	0068DC0B	true	0	0	high	final_vptr=0079D76C; returns_this=true; calls_before=1; field_writes_after=7; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high
0	0	0	006E34C0	AppClassTy::AppClassTy	ANALYSIS	undefined __thiscall AppClassTy(AppClassTy * this, undefined4 param_1, undefined4 param_2)	ANALYSIS	AppClassTy	AppClassTy::AppClassTy	0079E16C	006E34CC	true	0	2	high	final_vptr=0079E16C; returns_this=true; calls_before=0; field_writes_after=12; incoming_edx_uses=0; incoming_stack_parameter_uses=2; table_confidence=high; previously_applied
0	0	0	006E51C0	SystemClassTy::SystemClassTy	ANALYSIS	undefined __thiscall SystemClassTy(SystemClassTy * this, undefined4 param_1, undefined4 param_2)	ANALYSIS	SystemClassTy	SystemClassTy::SystemClassTy	0079E188	006E51D0	true	0	2	high	final_vptr=0079E188; returns_this=true; calls_before=0; field_writes_after=5; incoming_edx_uses=0; incoming_stack_parameter_uses=2; table_confidence=high; previously_applied
0	0	0	006E6100	SystemWithNamedObjClassTy::SystemWithNamedObjClassTy	ANALYSIS	SystemWithNamedObjClassTy * __thiscall SystemWithNamedObjClassTy(SystemWithNamedObjClassTy * this, undefined4 param_1, undefined4 param_2)	ANALYSIS	SystemWithNamedObjClassTy	SystemWithNamedObjClassTy::SystemWithNamedObjClassTy	0079E1B4	006E6115	true	0	2	high	final_vptr=0079E1B4; returns_this=true; calls_before=1; field_writes_after=1; incoming_edx_uses=0; incoming_stack_parameter_uses=2; table_confidence=high; previously_applied
0	0	0	00715820	SpriteClassTy::SpriteClassTy	ANALYSIS	undefined __thiscall SpriteClassTy(SpriteClassTy * this)	ANALYSIS	SpriteClassTy	SpriteClassTy::SpriteClassTy	0079E21C	00715827	true	0	0	high	final_vptr=0079E21C; returns_this=true; calls_before=0; field_writes_after=29; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
