address	name	current_type	call_boundary_types	trusted_pointer_return_store_types	constructor_store_types	address_of_uses	proposed_type	type_apply	call_boundary_sites	trusted_store_sites
0079D664	PTR_s_AIBOSS_0079d664	pointer:/char	{pointer:/char=1}	{}	{}	0		0	00648E70 -> 006F2D90 parameter 1 as pointer:/char @ 00648EE5 (global value)	-
0079D6D0	PTR_s_AIPLAYER_0079d6d0	pointer:/char	{pointer:/char=1}	{}	{}	0		0	0067C7E0 -> 006F2C00 parameter 0 as pointer:/char @ 0067CA74 (global value)	-
0079D718	PTR_s_OBJECTIVES_0079d718	pointer:/char	{pointer:/char=2}	{}	{}	1		0	0067DC20 -> 0072E340 parameter 1 as pointer:/char @ 0067DD86 (global value) | 0067E7E0 -> 0072E340 parameter 1 as pointer:/char @ 0067E99B (global value)	-
0079D724	PTR_s_ASSISTANT_0079d724	pointer:/char	{pointer:/char=2}	{}	{}	0		0	0067DEC0 -> 0067DC20 parameter 2 as pointer:/char @ 0067DF21 (global value) | 0067E580 -> 006F2C00 parameter 0 as pointer:/char @ 0067E5D8 (global value)	-
0079D728	PTR_s_OPPONENT_0079d728	pointer:/char	{pointer:/char=2}	{}	{}	0		0	0067DFD0 -> 0067DC20 parameter 2 as pointer:/char @ 0067E031 (global value) | 0067E6B0 -> 006F2C00 parameter 0 as pointer:/char @ 0067E708 (global value)	-
0079D72C	PTR_s_STRATEG_0079d72c	pointer:/char	{pointer:/char=1}	{}	{}	0		0	0067E320 -> 006F2C00 parameter 0 as pointer:/char @ 0067E389 (global value)	-
0079D734	PTR_s___EMPTY___0079d734	pointer:/char	{pointer:/byte=4}	{}	{}	0		0	0067F1D0 -> 0067EF60 parameter 0 as pointer:/byte @ 0067F20C (global value) | 00680D40 -> 0067EEA0 parameter 0 as pointer:/byte @ 00680D92 (global value) | 00680FF0 -> 0067EEA0 parameter 0 as pointer:/byte @ 0068101A (global value) | 00681140 -> 0067EEA0 parameter 0 as pointer:/byte @ 00681204 (global value)	-
0079D738	PTR_s___CONST__%03d_0079d738	pointer:/char	{pointer:/char=1}	{}	{}	0		0	0067ECA0 -> EXTERNAL:00000080 parameter 1 as pointer:/char @ 0067ECB7 (global value)	-
0079D73C	PTR_s___INCLUDE__%03d_0079d73c	pointer:/char	{pointer:/char=1}	{}	{}	0		0	0067ECE0 -> EXTERNAL:00000080 parameter 1 as pointer:/char @ 0067ECF3 (global value)	-
0079D740	PTR_s___EXPAR__%03d_0079d740	pointer:/char	{pointer:/char=1}	{}	{}	0		0	0067FBD0 -> EXTERNAL:00000080 parameter 1 as pointer:/char @ 0067FBE7 (global value)	-
0079D770	PTR_s_DESCRIPTOR_0079d770	pointer:/char	{pointer:/char=3}	{}	{}	0		0	006939F0 -> 006F1CE0 parameter 2 as pointer:/char @ 00693A4A (global value) | 00693D00 -> 006F13F0 parameter 2 as pointer:/char @ 00693D63 (global value) | 006942A0 -> 006F1CE0 parameter 2 as pointer:/char @ 006942F2 (global value)	-
0079D774	PTR_s_GENERATE_RND_0079d774	pointer:/char	{pointer:/char=1}	{}	{}	0		0	006952B0 -> 006F13F0 parameter 2 as pointer:/char @ 0069582E (global value)	-
0079D778	PTR_s_INTERFACE_RND_0079d778	pointer:/char	{pointer:/char=1}	{}	{}	0		0	006952B0 -> 006F13F0 parameter 2 as pointer:/char @ 00695848 (global value)	-
0079D838	PTR_s_TITLE_MISSION_0079d838	pointer:/char	{pointer:/char=1}	{}	{}	0		0	006A0740 -> 006F13F0 parameter 2 as pointer:/char @ 006A07EE (global value)	-
0079D83C	PTR_s_TEXTURE_0079d83c	pointer:/char	{pointer:/char=1}	{}	{}	0		0	006A0740 -> 006F13F0 parameter 2 as pointer:/char @ 006A080D (global value)	-
0079D848	PTR_s_PALETTE_0079d848	pointer:/char	{pointer:/char=1}	{}	{}	0		0	006A2ED0 -> 006F1CE0 parameter 2 as pointer:/char @ 006A309E (global value)	-
007AD25C	PTR_s_tlo_bldmark_si_007ad25c	pointer:/char	{pointer:/char=1}	{}	{}	0		0	004C6440 -> 004AB880 parameter 3 as pointer:/char @ 004C66FA (global value)	-
007B8330	PTR_s_dyaws_body_007b8330	pointer:/char	{pointer:/char=1}	{}	{}	0		0	004D32C0 -> 004AB880 parameter 3 as pointer:/char @ 004D34FA (global value)	-
007BB1B4	PTR_s_tlo_sha_ws_007bb1b4	pointer:/char	{pointer:/char=5}	{}	{}	0		0	004C9770 -> 004AB880 parameter 3 as pointer:/char @ 004C9C82 (global value) | 004D32C0 -> 004AB880 parameter 3 as pointer:/char @ 004D338E (global value) | 004D32C0 -> 004AB880 parameter 3 as pointer:/char @ 004D36F4 (global value) | 004D55B0 -> 004AB880 parameter 3 as pointer:/char @ 004D582E (global value) | 004D55B0 -> 004AB880 parameter 3 as pointer:/char @ 004D5977 (global value)	-
007C1890	CHAR_%_007c1890	/char	{/char=25}	{}	{}	25		0	004EF320 -> EXTERNAL:00000080 parameter 1 as /char @ 004EF4AD (address-of global) | 004F1D90 -> EXTERNAL:00000080 parameter 1 as /char @ 004F1E20 (address-of global) | 004F2130 -> EXTERNAL:00000080 parameter 1 as /char @ 004F21D9 (address-of global) | 004F2130 -> EXTERNAL:00000080 parameter 1 as /char @ 004F223D (address-of global) | 004F2560 -> EXTERNAL:00000080 parameter 1 as /char @ 004F269B (address-of global) | 004F2560 -> EXTERNAL:00000080 parameter 1 as /char @ 004F28ED (address-of global) | 00505230 -> EXTERNAL:00000080 parameter 1 as /char @ 005056BD (address-of global) | 005061C0 -> EXTERNAL:00000080 parameter 1 as /char @ 00506EAF (address-of global) | 0050A340 -> EXTERNAL:00000080 parameter 1 as /char @ 0050AFCF (address-of global) | 0050A340 -> EXTERNAL:00000080 parameter 1 as /char @ 0050B71E (address-of global) | 0050A340 -> EXTERNAL:00000080 parameter 1 as /char @ 0050B7A0 (address-of global) | 0050C620 -> EXTERNAL:00000080 parameter 1 as /char @ 0050D21F (address-of global) | 0050C620 -> EXTERNAL:00000080 parameter 1 as /char @ 0050D851 (address-of global) | 0050C620 -> EXTERNAL:00000080 parameter 1 as /char @ 0050D8C5 (address-of global) | 00518C20 -> EXTERNAL:00000080 parameter 1 as /char @ 00519521 (address-of global) | 0051A100 -> EXTERNAL:00000080 parameter 1 as /char @ 0051A9F1 (address-of global) | 0052FB00 -> EXTERNAL:00000080 parameter 1 as /char @ 00530159 (address-of global) | 0052FB00 -> EXTERNAL:00000080 parameter 1 as /char @ 005301C1 (address-of global) | 00533D10 -> EXTERNAL:00000080 parameter 1 as /char @ 00535A65 (address-of global) | 00533D10 -> EXTERNAL:00000080 parameter 1 as /char @ 00535CAB (address-of global) | 005C8A40 -> EXTERNAL:00000080 parameter 1 as /char @ 005C96DB (address-of global) | 005C8A40 -> EXTERNAL:00000080 parameter 1 as /char @ 005C9702 (address-of global) | 005C8A40 -> EXTERNAL:00000080 parameter 1 as /char @ 005C9729 (address-of global) | 005C8A40 -> EXTERNAL:00000080 parameter 1 as /char @ 005CABC8 (address-of global) | 0074D6DE -> EXTERNAL:00000080 parameter 1 as /char @ 0074D6F0 (address-of global)	-
007C2B14	DAT_007c2b14	/undefined4	{pointer:/char=1}	{}	{}	0	pointer:/char	0	0056DB80 -> 006E8640 parameter 2 as pointer:/char @ 0056E413 (global value)	-
007C2B20	DAT_007c2b20	/undefined4	{pointer:/char=1}	{}	{}	0	pointer:/char	0	0056DB80 -> 006E8640 parameter 1 as pointer:/char @ 0056E413 (global value)	-
007C3B5C	CHAR_ _007c3b5c	/char	{/char=11}	{}	{}	13		0	00514F10 -> 006B5AA0 parameter 1 as /char @ 00515003 (address-of global) | 0052D320 -> 0052D370 parameter 1 as /char @ 0052D33A (address-of global) | 0052D320 -> 0052D370 parameter 1 as /char @ 0052D347 (address-of global) | 005DC050 -> 006B5AA0 parameter 1 as /char @ 005DC31A (address-of global) | 005DC050 -> 006B5AA0 parameter 1 as /char @ 005DC39D (address-of global) | 005DC050 -> 006B5AA0 parameter 1 as /char @ 005DC3F9 (address-of global) | 005DC730 -> 006B5AA0 parameter 1 as /char @ 005DC915 (address-of global) | 005DC730 -> 006B5AA0 parameter 1 as /char @ 005DC998 (address-of global) | 005DC730 -> 006B5AA0 parameter 1 as /char @ 005DC9D3 (address-of global) | 005E1330 -> 006B5AA0 parameter 1 as /char @ 005E2432 (address-of global) | 005E1330 -> 006B5AA0 parameter 1 as /char @ 005E2488 (address-of global)	-
007C3B60	DAT_007c3b60	/undefined1	{/char=1}	{}	{}	1	/char	0	00514F10 -> 005411A0 parameter 2 as /char @ 00514F92 (address-of global)	-
007C7078	CHAR_._007c7078	/char	{/char=3}	{}	{}	3		0	007535F0 -> 0072E620 parameter 1 as /char @ 0075362A (address-of global) | 007535F0 -> 0072E620 parameter 1 as /char @ 007536EB (address-of global) | 007535F0 -> 0072F110 parameter 4 as /char @ 007536C3 (address-of global)	-
007C7080	CHAR_._007c7080	/char	{/char=3}	{}	{}	3		0	007535F0 -> 0072E620 parameter 1 as /char @ 00753642 (address-of global) | 007535F0 -> 0072E620 parameter 1 as /char @ 00753703 (address-of global) | 007535F0 -> 0072F110 parameter 4 as /char @ 00753784 (address-of global)	-
