repair_apply	owner_apply	convention_apply	this_type_apply	parameter_apply	address	expected_name	expected_name_source	expected_signature	expected_signature_source	expected_calling_convention	owner	proposed_name	owner_type_path	agreed_this_calls	receiver_accesses	incoming_edx_uses	incoming_stack_parameter_uses	owner_call_counts	call_sites	direct_callers	receiver_alias_callers	attributed_callers	confidence	reason
0	0	0	0	0	005DAA60	FUN_005daa60	DEFAULT	undefined __stdcall FUN_005daa60(void)	ANALYSIS	__stdcall	StartSystemTy	StartSystemTy::sub_005DAA60	/StartSystemTy	1	0	0	0	{StartSystemTy=1}	005DAFBB StartSystemTy::sub_005DAF20	0	0	1	medium	this_call_owners=[StartSystemTy]; agreed_this_calls=1; incoming_this_accesses=0; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; calling_convention_not_receiver_compatible
0	0	0	0	0	005DAB30	StartSystemTy::sub_005DAB30	ANALYSIS	undefined __thiscall sub_005DAB30(StartSystemTy * this)	ANALYSIS	__thiscall	StartSystemTy	StartSystemTy::sub_005DAB30	/StartSystemTy	1	3	0	0	{StartSystemTy=1}	005DAFAD StartSystemTy::sub_005DAF20	0	0	1	high	this_call_owners=[StartSystemTy]; agreed_this_calls=1; incoming_this_accesses=3; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	005DAC60	FUN_005dac60	DEFAULT	undefined __stdcall FUN_005dac60(void)	ANALYSIS	__stdcall	StartSystemTy	StartSystemTy::sub_005DAC60	/StartSystemTy	1	0	0	0	{StartSystemTy=1}	005DAFB4 StartSystemTy::sub_005DAF20	0	0	1	medium	this_call_owners=[StartSystemTy]; agreed_this_calls=1; incoming_this_accesses=0; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; calling_convention_not_receiver_compatible
0	0	0	0	0	005DAF20	StartSystemTy::sub_005DAF20	ANALYSIS	undefined __thiscall sub_005DAF20(StartSystemTy * this)	ANALYSIS	__thiscall	StartSystemTy	StartSystemTy::sub_005DAF20	/StartSystemTy	1	2	0	0	{StartSystemTy=1}	005DCE3C StartSystemTy::~StartSystemTy	0	0	1	high	this_call_owners=[StartSystemTy]; agreed_this_calls=1; incoming_this_accesses=2; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	005DB010	FUN_005db010	DEFAULT	void __stdcall FUN_005db010(void)	ANALYSIS	__stdcall	StartSystemTy	StartSystemTy::sub_005DB010	/StartSystemTy	1	0	0	0	{StartSystemTy=1}	005DCE43 StartSystemTy::~StartSystemTy	0	0	1	medium	this_call_owners=[StartSystemTy]; agreed_this_calls=1; incoming_this_accesses=0; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; calling_convention_not_receiver_compatible
0	0	0	0	0	005DB2A0	StartSystemTy::sub_005DB2A0	ANALYSIS	undefined __thiscall sub_005DB2A0(StartSystemTy * this)	ANALYSIS	__thiscall	StartSystemTy	StartSystemTy::sub_005DB2A0	/StartSystemTy	1	22	0	0	{StartSystemTy=1}	005DCE2B StartSystemTy::~StartSystemTy	0	0	1	high	this_call_owners=[StartSystemTy]; agreed_this_calls=1; incoming_this_accesses=22; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	00615BB0	FUN_00615bb0	DEFAULT	undefined __stdcall FUN_00615bb0(Global_sub_00615BB0_param_1Enum param_1, undefined4 * param_2, undefined4 * param_3, int param_4, undefined2 * param_5)	ANALYSIS	__stdcall	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0060EF40	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0060EF40::sub_00615BB0	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_0060EF40	2	0	0	32	{SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0060EF40=2}	0060EFA8 SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0060EF40::FUN_0060ef40 | 0060F289 SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0060EF40::FUN_0060ef40	0	0	1	medium	this_call_owners=[SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0060EF40]; agreed_this_calls=2; incoming_this_accesses=0; incoming_edx_uses=0; incoming_stack_parameter_uses=32; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; calling_convention_not_receiver_compatible
0	0	0	0	0	00636FC0	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00636260::sub_00636FC0	ANALYSIS	int __thiscall sub_00636FC0(AnonReceiver_00636260 * this)	ANALYSIS	__thiscall	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00636260	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00636260::sub_00636FC0	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00636260	1	3	0	0	{SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00636260=1}	00636299 SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00636260::FUN_00636260	0	0	1	high	this_call_owners=[SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00636260]; agreed_this_calls=1; incoming_this_accesses=3; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	0065BD70	AiEventClassTy::sub_0065BD70	ANALYSIS	int __thiscall sub_0065BD70(AiEventClassTy * this, STMessage * message, int param_2)	ANALYSIS	__thiscall	AiEventClassTy	AiEventClassTy::sub_0065BD70	/AiEventClassTy	1	89	1	26	{AiEventClassTy=1}	00652844 AiEventClassTy::GetMessage	0	0	1	high	this_call_owners=[AiEventClassTy]; agreed_this_calls=1; incoming_this_accesses=89; incoming_edx_uses=1; incoming_stack_parameter_uses=26; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	0065D9C0	AiFltClassTy::sub_0065D9C0	ANALYSIS	undefined2 __thiscall sub_0065D9C0(AiFltClassTy * this)	ANALYSIS	__thiscall	AiFltClassTy	AiFltClassTy::sub_0065D9C0	/AiFltClassTy	1	2	0	0	{AiFltClassTy=1}	0066191E AiFltClassTy::GoToRepair	0	0	1	high	this_call_owners=[AiFltClassTy]; agreed_this_calls=1; incoming_this_accesses=2; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
