function_address	function	call_address	table_register	slot_offset	observed_pushes	last_ecx_assignment	instruction
005F0280	FUN_005f0280	005F029D	EDX	12	0	ESI	CALL dword ptr [EDX + 0xc]
005F04B0	FUN_005f04b0	005F04DB	EDX	44	0	DWORD PTR [EBP + 0X8]	CALL dword ptr [EDX + 0x2c]
005F05A0	FUN_005f05a0	005F05C2	EAX	324	1	EDX	CALL dword ptr [EAX + 0x144]
005F05A0	FUN_005f05a0	005F05EF	EAX	0	1	DWORD PTR [0X008117BC]	CALL dword ptr [EAX]
005F0620	FUN_005f0620	005F0690	EAX	0	1	ESI	CALL dword ptr [EAX]
005F06E0	FUN_005f06e0	005F0750	EDX	0	1	ESI	CALL dword ptr [EDX]
005F07A0	FUN_005f07a0	005F0883	EDX	44	0	EDI	CALL dword ptr [EDX + 0x2c]
005F0A30	FUN_005f0a30	005F0AFF	EDX	44	0	EDI	CALL dword ptr [EDX + 0x2c]
005F0A30	FUN_005f0a30	005F0B0B	EAX	312	0	ESI	CALL dword ptr [EAX + 0x138]
005F0A30	FUN_005f0a30	005F0B16	EDX	304	1	ESI	CALL dword ptr [EDX + 0x130]
005F0A30	FUN_005f0a30	005F0B21	EAX	44	1	ESI	CALL dword ptr [EAX + 0x2c]
005F0A30	FUN_005f0a30	005F0B34	EDX	172	1	ESI	CALL dword ptr [EDX + 0xac]
005F0BA0	FUN_005f0ba0	005F0C27	EDX	0	0	EDI	CALL dword ptr [EDX]
005F0D00	FUN_005f0d00	005F0D68	EAX	0	1	ESI	CALL dword ptr [EAX]
005F0D90	FUN_005f0d90	005F0DF8	EAX	0	1	ESI	CALL dword ptr [EAX]
005F0E20	FUN_005f0e20	005F0E55	EDX	236	0		CALL dword ptr [EDX + 0xec]
005F0E20	FUN_005f0e20	005F0E79	EAX	236	0		CALL dword ptr [EAX + 0xec]
005F0EC0	FUN_005f0ec0	005F104D	EDX	8	5	DWORD PTR [0X00802A38]	CALL dword ptr [EDX + 0x8]
005F5D10	FUN_005f5d10	005F5D91	EAX	224	5		CALL dword ptr [EAX + 0xe0]
005F5F20	STColl3C::GetMessage	005F6219	EDX	216	0	ESI	CALL dword ptr [EDX + 0xd8]
005F5F20	STColl3C::GetMessage	005F6312	EAX	120	0	ESI	CALL dword ptr [EAX + 0x78]
005F5F20	STColl3C::GetMessage	005F63DC	EAX	0	0		CALL dword ptr [EAX]
005F6F60	FUN_005f6f60	005F7943	EDX	32	0	EBX	CALL dword ptr [EDX + 0x20]
005F8D10	FUN_005f8d10	005F8D1F	EAX	28	4		CALL dword ptr [EAX + 0x1c]
005F9050	FUN_005f9050	005F90FF	EDX	44	0	ESI	CALL dword ptr [EDX + 0x2c]
005F91E0	FUN_005f91e0	005F9283	EDX	44	0	ESI	CALL dword ptr [EDX + 0x2c]
005FA070	FUN_005fa070	005FA07E	EAX	32	0		CALL dword ptr [EAX + 0x20]
005FA180	FUN_005fa180	005FA208	EAX	0	0	EDI	CALL dword ptr [EAX]
005FA8B0	FUN_005fa8b0	005FA937	EAX	44	0	ESI	CALL dword ptr [EAX + 0x2c]
005FAF70	FUN_005faf70	005FAF8D	EAX	16	7		CALL dword ptr [EAX + 0x10]
005FB640	STContainerC::GetMessage	005FBCA0	EDX	292	1	ESI	CALL dword ptr [EDX + 0x124]
005FB640	STContainerC::GetMessage	005FBD6D	EAX	172	1	ESI	CALL dword ptr [EAX + 0xac]
005FB640	STContainerC::GetMessage	005FBD92	EDX	292	1	ESI	CALL dword ptr [EDX + 0x124]
005FB640	STContainerC::GetMessage	005FBF44	EAX	0	0		CALL dword ptr [EAX]
005FB640	STContainerC::GetMessage	005FC045	EAX	216	0	EBX	CALL dword ptr [EAX + 0xd8]
005FC4A0	FUN_005fc4a0	005FC72E	EDX	44	0	EDI	CALL dword ptr [EDX + 0x2c]
005FC4A0	FUN_005fc4a0	005FC74D	EAX	276	1	EDI	CALL dword ptr [EAX + 0x114]
005FC4A0	FUN_005fc4a0	005FC763	EDX	280	1	EDI	CALL dword ptr [EDX + 0x118]
005FCEB0	FUN_005fceb0	005FCF1B	EDX	0	1	DWORD PTR [0X008117BC]	CALL dword ptr [EDX]
005FCFF0	FUN_005fcff0	005FD13D	EDX	8	5	DWORD PTR [0X00802A38]	CALL dword ptr [EDX + 0x8]
005FD1B0	FUN_005fd1b0	005FD2DD	EDX	8	5	DWORD PTR [0X00802A38]	CALL dword ptr [EDX + 0x8]
005FD750	FUN_005fd750	005FD7B3	EDX	248	0	ESI	CALL dword ptr [EDX + 0xf8]
005FD750	FUN_005fd750	005FD7EE	EDX	8	5	DWORD PTR [0X00802A38]	CALL dword ptr [EDX + 0x8]
005FEB60	FUN_005feb60	005FED55	EDX	240	0	EDI	CALL dword ptr [EDX + 0xf0]
005FEB60	FUN_005feb60	005FEE5C	EAX	248	0	EDI	CALL dword ptr [EAX + 0xf8]
005FEB60	FUN_005feb60	005FEEEF	EDX	44	0	EDI	CALL dword ptr [EDX + 0x2c]
005FF3A0	FUN_005ff3a0	005FF3CD	EDX	248	0	ESI	CALL dword ptr [EDX + 0xf8]
005FF430	FUN_005ff430	005FF4B5	EDX	120	0	EBX	CALL dword ptr [EDX + 0x78]
006001E0	FUN_006001e0	00600435	EAX	224	5		CALL dword ptr [EAX + 0xe0]
00601500	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00601500::FUN_00601500	00601853	EDX	248	0	ESI	CALL dword ptr [EDX + 0xf8]
00601500	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00601500::FUN_00601500	0060188B	EDX	220	6	ESI	CALL dword ptr [EDX + 0xdc]
00601500	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00601500::FUN_00601500	00601A82	EDX	220	6	ESI	CALL dword ptr [EDX + 0xdc]
00601D10	FUN_00601d10	00601D7B	EDX	24	2	DWORD PTR [0X00802A38]	CALL dword ptr [EDX + 0x18]
00601F80	STDestC::GetMessage	00602253	EDX	0	0		CALL dword ptr [EDX]
00602BE0	FUN_00602be0	00602DAB	EDX	216	0	ESI	CALL dword ptr [EDX + 0xd8]
006033D0	FUN_006033d0	006033F6	EDX	44	0		CALL dword ptr [EDX + 0x2c]
00603470	FUN_00603470	00603479	EAX	44	3		CALL dword ptr [EAX + 0x2c]
006034E0	FUN_006034e0	00603631	EDX	8	5	DWORD PTR [0X00802A38]	CALL dword ptr [EDX + 0x8]
0060AEF0	FUN_0060aef0	0060B154	EDX	240	0	ESI	CALL dword ptr [EDX + 0xf0]
0060AEF0	FUN_0060aef0	0060B16F	EAX	44	0	ESI	CALL dword ptr [EAX + 0x2c]
0060AEF0	FUN_0060aef0	0060B2E5	EDX	248	0	ESI	CALL dword ptr [EDX + 0xf8]
0060AEF0	FUN_0060aef0	0060B308	EDX	120	0	ESI	CALL dword ptr [EDX + 0x78]
0060AEF0	FUN_0060aef0	0060B389	EAX	44	0	ESI	CALL dword ptr [EAX + 0x2c]
0060AEF0	FUN_0060aef0	0060B49E	EDX	248	0	ESI	CALL dword ptr [EDX + 0xf8]
0060AEF0	FUN_0060aef0	0060B61B	EDX	44	0	ESI	CALL dword ptr [EDX + 0x2c]
0060AEF0	FUN_0060aef0	0060B6EA	EAX	44	0	EBX	CALL dword ptr [EAX + 0x2c]
0060AEF0	FUN_0060aef0	0060B7C1	EDX	44	0	ESI	CALL dword ptr [EDX + 0x2c]
0060AEF0	FUN_0060aef0	0060B934	EDX	44	0	ESI	CALL dword ptr [EDX + 0x2c]
0060BCB0	FUN_0060bcb0	0060BCF9	EAX	0	1		CALL dword ptr [EAX]
0060BD30	FUN_0060bd30	0060BDA7	EDX	0	3	DWORD PTR [EBP + 0X8]	CALL dword ptr [EDX]
0060BDD0	FUN_0060bdd0	0060BF48	EDX	0	1	EDI	CALL dword ptr [EDX]
0060C320	FUN_0060c320	0060C4F0	EDX	240	0	ESI	CALL dword ptr [EDX + 0xf0]
0060C320	FUN_0060c320	0060C60C	EAX	248	0	ESI	CALL dword ptr [EAX + 0xf8]
0060C320	FUN_0060c320	0060C62C	EAX	120	0	ESI	CALL dword ptr [EAX + 0x78]
0060EF40	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0060EF40::FUN_0060ef40	0060F1E2	EDX	248	0	ESI	CALL dword ptr [EDX + 0xf8]
006101B0	FUN_006101b0	00610A75	EDX	20	6	ESI	CALL dword ptr [EDX + 0x14]
006101B0	FUN_006101b0	00610EAB	EAX	20	6	ESI	CALL dword ptr [EAX + 0x14]
006101B0	FUN_006101b0	00611410	EAX	20	6	ESI	CALL dword ptr [EAX + 0x14]
006101B0	FUN_006101b0	00611A77	EDX	20	6	ESI	CALL dword ptr [EDX + 0x14]
006101B0	FUN_006101b0	00612565	EAX	20	6	ESI	CALL dword ptr [EAX + 0x14]
00613140	FUN_00613140	00613225	EDX	20	6	ESI	CALL dword ptr [EDX + 0x14]
00614400	FUN_00614400	006146A1	EAX	240	0	EDI	CALL dword ptr [EAX + 0xf0]
00614400	FUN_00614400	0061479E	EDX	248	0	EDI	CALL dword ptr [EDX + 0xf8]
00615FD0	FUN_00615fd0	0061602F	EAX	224	5		CALL dword ptr [EAX + 0xe0]
00618240	FUN_00618240	00618465	EAX	240	0	EDI	CALL dword ptr [EAX + 0xf0]
00618240	FUN_00618240	00618581	EAX	248	0	EDI	CALL dword ptr [EAX + 0xf8]
00618240	FUN_00618240	006185B7	EDX	44	0	EDI	CALL dword ptr [EDX + 0x2c]
0061B340	FUN_0061b340	0061B555	EDX	240	0	EDI	CALL dword ptr [EDX + 0xf0]
0061B340	FUN_0061b340	0061B567	EAX	248	0	EDI	CALL dword ptr [EAX + 0xf8]
0061B340	FUN_0061b340	0061BAC0	EDX	240	0	EDI	CALL dword ptr [EDX + 0xf0]
0061B340	FUN_0061b340	0061BAD2	EAX	248	0	EDI	CALL dword ptr [EAX + 0xf8]
0061C5F0	FUN_0061c5f0	0061C7EB	EDX	44	0	EDI	CALL dword ptr [EDX + 0x2c]
0061C910	FUN_0061c910	0061C95B	EAX	224	5		CALL dword ptr [EAX + 0xe0]
