source_target	destination_target	site
00414A70|local|Stack[-0x8]:4	00415050|parameter|Stack[0x10]:4	00414A70 C call -> FUN_00415050
00415160|parameter|Stack[0x4]:4	004233C0|parameter|ECX:4	00415160 C call -> FUN_004233c0
00415160|parameter|Stack[0x4]:4	00423E70|parameter|ECX:4 (auto)	00415160 C call -> FUN_00423e70
00415160|parameter|Stack[0x4]:4	00413AF0|parameter|Stack[0x4]:4	00415160 C call -> FUN_00413af0
00415160|parameter|Stack[0x8]:4	00413AF0|parameter|Stack[0x8]:4	00415160 C call -> FUN_00413af0
00415160|parameter|Stack[0xc]:4	00413AF0|parameter|Stack[0xc]:4	00415160 C call -> FUN_00413af0
00415160|parameter|Stack[0x10]:4	00413AF0|parameter|Stack[0x10]:4	00415160 C call -> FUN_00413af0
00415160|parameter|Stack[0x14]:4	00413AF0|parameter|Stack[0x14]:4	00415160 C call -> FUN_00413af0
00415160|parameter|Stack[0x4]:4	00423E70|parameter|ECX:4 (auto)	00415160 C call -> FUN_00423e70
00415160|parameter|Stack[0x4]:4	00423E70|parameter|ECX:4 (auto)	00415160 C call -> FUN_00423e70
00415160|parameter|Stack[0x4]:4	00423E70|parameter|ECX:4 (auto)	00415160 C call -> FUN_00423e70
00415590|parameter|Stack[0x4]:4	004233C0|parameter|ECX:4	00415590 C call -> FUN_004233c0
00415590|parameter|Stack[0xc]:4	006DB910|parameter|Stack[0x4]:4	00415590 C call -> FUN_006db910
00415590|parameter|Stack[0x10]:4	006DB910|parameter|Stack[0x8]:4	00415590 C call -> FUN_006db910
00415590|parameter|Stack[0x18]:4	006DB910|parameter|Stack[0xc]:4	00415590 C call -> FUN_006db910
00415590|parameter|Stack[0x1c]:4	006DB910|parameter|Stack[0x10]:4	00415590 C call -> FUN_006db910
00415590|parameter|Stack[0x4]:4	00413AF0|parameter|Stack[0x4]:4	00415590 C call -> FUN_00413af0
00415590|parameter|Stack[0x8]:4	00413AF0|parameter|Stack[0x8]:4	00415590 C call -> FUN_00413af0
00415590|parameter|Stack[0x18]:4	00413AF0|parameter|Stack[0xc]:4	00415590 C call -> FUN_00413af0
00415590|parameter|Stack[0x1c]:4	00413AF0|parameter|Stack[0x10]:4	00415590 C call -> FUN_00413af0
00415590|parameter|Stack[0x20]:4	00413AF0|parameter|Stack[0x14]:4	00415590 C call -> FUN_00413af0
00415590|local|Stack[-0x8]:4	006AE140|parameter|Stack[0x4]:4	00415590 C call -> Library::DKW::TBL::DArrayPut
00415590|local|Stack[-0x8]:4	006AE140|parameter|Stack[0x4]:4	00415590 C call -> Library::DKW::TBL::DArrayPut
00415590|local|Stack[-0x8]:4	006AE1C0|parameter|Stack[0x4]:4	00415590 C call -> Library::DKW::TBL::DArrayAppend
004158E0|parameter|ECX:4 (auto)	006E60E0|parameter|ECX:4 (auto)	004158E0 C call -> sub_006E60E0
00415B30|parameter|Stack[0x10]:2	006ACF0D|parameter|Stack[0x10]:4	00415B30 C call -> FUN_006acf0d
00415B30|parameter|Stack[0x14]:2	006ACF0D|parameter|Stack[0x14]:4	00415B30 C call -> FUN_006acf0d
00415B30|parameter|Stack[0x18]:2	006ACF0D|parameter|Stack[0x18]:4	00415B30 C call -> FUN_006acf0d
00415ED0|parameter|ECX:4 (auto)	0041D8E0|parameter|ECX:4	00415ED0 C call -> FUN_0041d8e0
00416400|parameter|ECX:4	00415ED0|parameter|ECX:4 (auto)	00416400 C call -> STJellyGunC::sub_00415ED0
00416400|parameter|ECX:4	00416270|parameter|ECX:4 (auto)	00416400 C call -> FUN_00416270
00416400|local|Stack[-0x24]:4	00416270|parameter|Stack[0x4]:4	00416400 C call -> FUN_00416270
00416400|local|Stack[-0x20]:4	00416270|parameter|Stack[0x8]:4	00416400 C call -> FUN_00416270
00416400|local|Stack[-0x1c]:4	00416270|parameter|Stack[0xc]:4	00416400 C call -> FUN_00416270
00416400|parameter|ECX:4	00415B30|parameter|ECX:4 (auto)	00416400 C call -> sub_00415B30
00416400|local|Stack[-0xc]:4	00415B30|parameter|Stack[0x18]:2	00416400 C call -> sub_00415B30
00417A20|parameter|ECX:4 (auto)	00495FF0|parameter|Stack[0x14]:4	00417A20 C call -> FUN_00495ff0
00417A20|parameter|Stack[0x4]:2	00495EC0|parameter|Stack[0x4]:2	00417A20 C call -> DumpClassC::WritePtr
00417A20|parameter|Stack[0x8]:2	00495EC0|parameter|Stack[0x8]:2	00417A20 C call -> DumpClassC::WritePtr
00417A20|parameter|Stack[0xc]:2	00495EC0|parameter|Stack[0xc]:2	00417A20 C call -> DumpClassC::WritePtr
00417A20|parameter|ECX:4 (auto)	00495EC0|parameter|Stack[0x14]:4	00417A20 C call -> DumpClassC::WritePtr
00417A20|parameter|ECX:4 (auto)	00495FF0|parameter|Stack[0x14]:4	00417A20 C call -> FUN_00495ff0
00417A20|parameter|ECX:4 (auto)	00495FF0|parameter|Stack[0x14]:4	00417A20 C call -> FUN_00495ff0
00417A20|parameter|ECX:4 (auto)	00495FF0|parameter|Stack[0x14]:4	00417A20 C call -> FUN_00495ff0
00417A20|parameter|ECX:4 (auto)	00495FF0|parameter|Stack[0x14]:4	00417A20 C call -> FUN_00495ff0
00417A20|parameter|Stack[0x4]:2	00495EC0|parameter|Stack[0x4]:2	00417A20 C call -> DumpClassC::WritePtr
00417A20|parameter|Stack[0x8]:2	00495EC0|parameter|Stack[0x8]:2	00417A20 C call -> DumpClassC::WritePtr
00417A20|parameter|Stack[0xc]:2	00495EC0|parameter|Stack[0xc]:2	00417A20 C call -> DumpClassC::WritePtr
00417A20|parameter|ECX:4 (auto)	00495EC0|parameter|Stack[0x14]:4	00417A20 C call -> DumpClassC::WritePtr
00417A20|parameter|ECX:4 (auto)	00495EC0|parameter|Stack[0x14]:4	00417A20 C call -> DumpClassC::WritePtr
00417A20|parameter|ECX:4 (auto)	00495EC0|parameter|Stack[0x14]:4	00417A20 C call -> DumpClassC::WritePtr
00417A20|parameter|ECX:4 (auto)	00495EC0|parameter|Stack[0x14]:4	00417A20 C call -> DumpClassC::WritePtr
00417D30|parameter|ECX:4 (auto)	00495FF0|parameter|Stack[0x14]:4	00417D30 C call -> FUN_00495ff0
00417D30|parameter|ECX:4 (auto)	00495FF0|parameter|Stack[0x14]:4	00417D30 C call -> FUN_00495ff0
00417D30|parameter|ECX:4 (auto)	00495FF0|parameter|Stack[0x14]:4	00417D30 C call -> FUN_00495ff0
00417D30|parameter|ECX:4 (auto)	00495FF0|parameter|Stack[0x14]:4	00417D30 C call -> FUN_00495ff0
00417D30|parameter|ECX:4 (auto)	00495FF0|parameter|Stack[0x14]:4	00417D30 C call -> FUN_00495ff0
00418030|parameter|ECX:4 (auto)	004167A0|parameter|ECX:4 (auto)	00418030 C call -> sub_004167A0
00418030|local|Stack[-0x2c]:4	006A5EB0|parameter|Stack[0x10]:4	00418030 C call -> FUN_006a5eb0
00418030|local|Stack[-0x2c]:4	006AE7D0|parameter|Stack[0x20]:4	00418030 C call -> Library::DKW::WAY::FUN_006ae7d0
00418030|local|Stack[-0x50]:4	006AE7D0|parameter|Stack[0x24]:4	00418030 C call -> Library::DKW::WAY::FUN_006ae7d0
00418030|parameter|Stack[0xc]:2	006AE7D0|parameter|Stack[0x28]:4	00418030 C call -> Library::DKW::WAY::FUN_006ae7d0
00418030|local|Stack[-0x14]:4	006AE7D0|parameter|Stack[0x30]:4	00418030 C call -> Library::DKW::WAY::FUN_006ae7d0
00418030|local|Stack[-0x2c]:4	006AFBA0|parameter|Stack[0x20]:4	00418030 C call -> Library::DKW::WAY::FUN_006afba0
00418030|local|Stack[-0x50]:4	006AFBA0|parameter|Stack[0x24]:4	00418030 C call -> Library::DKW::WAY::FUN_006afba0
00418030|local|Stack[-0x44]:4	006AFBA0|parameter|Stack[0x28]:4	00418030 C call -> Library::DKW::WAY::FUN_006afba0
