apply	function_address	function_name	parameter_ordinal	expected_name	expected_storage	expected_type	expected_source	proposed_type	shape_id	confidence	reason
0	0060BDD0	FUN_0060bdd0	1	param_1	Stack[0x4]:4	pointer:/undefined4	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0060BDD0_P1	CallableReceiver_0060BDD0_P1	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=38
0	006101B0	FUN_006101b0	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0060EF40	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_006101B0_P0	CallableReceiver_006101B0_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=5; slots=1; exact_extent=751
0	00623600	FUN_00623600	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_00623600_F614B92B	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00623600_P0	CallableReceiver_00623600_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=2; slots=1; exact_extent=851
0	006264D0	FUN_006264d0	1	param_1	Stack[0x4]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_006264D0_P1	CallableReceiver_006264D0_P1	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=38
0	0062B830	FUN_0062b830	4	param_5	Stack[0x14]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0062B830_P4	CallableReceiver_0062B830_P4	review	receiver family is not dense enough for a persistent structural view; a slot argument carries an unresolved incoming register ABI; sites=1; slots=1; exact_extent=46
0	0064DD70	FUN_0064dd70	2	param_3	Stack[0xc]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0064DD70_P2	CallableReceiver_0064DD70_P2	review	receiver family is not dense enough for a persistent structural view; no exact non-vptr receiver extent was recovered; sites=1; slots=1; exact_extent=2
0	0065D760	AiFltClassTy::_AddObjFlt	1	objPtr	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_0065D760_A4BF8285	ANALYSIS	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0065D760_P1	CallableReceiver_0065D760_P1	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=3; slots=1; exact_extent=2078
0	00675EA0	_AddObjGrpExch	1	param_2	Stack[0x8]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00675EA0_P1	CallableReceiver_00675EA0_P1	review	receiver family is not dense enough for a persistent structural view; no exact non-vptr receiver extent was recovered; sites=1; slots=1; exact_extent=2
0	00677EF0	FUN_00677ef0	2	param_3	Stack[0xc]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00677EF0_P2	CallableReceiver_00677EF0_P2	review	receiver family is not dense enough for a persistent structural view; no exact non-vptr receiver extent was recovered; sites=1; slots=1; exact_extent=2
0	006D4F50	FUN_006d4f50	0	param_1	Stack[0x4]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_006D4F50_P0	CallableReceiver_006D4F50_P0	review	receiver family is not dense enough for a persistent structural view; no exact non-vptr receiver extent was recovered; sites=1; slots=1; exact_extent=2
0	006D4FD0	FUN_006d4fd0	0	param_1	Stack[0x4]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_006D4FD0_P0	CallableReceiver_006D4FD0_P0	review	receiver family is not dense enough for a persistent structural view; no exact non-vptr receiver extent was recovered; sites=1; slots=1; exact_extent=2
0	0071F230	FUN_0071f230	0	param_1	ECX:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0071F230_P0	CallableReceiver_0071F230_P0	review	receiver family is not dense enough for a persistent structural view; sites=2; slots=2; exact_extent=522
